name,location_name,category_name,address,city,state,zip_code,violations,current_demerits,inspection_demerits,business_id,neighborhood,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi
Original Pancake House,Original Pancake House,Restaurant,4170 S Fort Apache Rd,Las Vegas,Nevada,89147,38,39,86,XkvvUNCmLIvOts0OftXegw,Spring Valley,3.5,360,Null,Null,0,1,Null,Null,Null,1,0,1,1,Null,0,Null,Null,Null,0,Null,Null,1,2,Null,Null,0,Null,1,Null,0,0,Null,0,1,2,1,1,1,Null,1,0
Just a Bite Cheesecakes,Elite Catering - Just a Bite Chees,Main Kitchen,3310 S Nellis Blvd 18,Las Vegas,Nevada,89121,1,1,1,rLYDibyzkA4Dlreqf6YEQA,Eastside,5.0,28,Null,Null,Null,Null,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,2,Null,Null,1,Null,1,Null
Centro America Restaurant,CENTRO AMERICA RESTAURANT,Restaurant,"6135 W SAHARA 6,7&8",Las Vegas,Nevada,89146,113,132,274,0rk2_lmbfpiYXGBFmyxx9Q,Westside,3.5,39,Null,Null,2,0,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,1,Null,0,0,Null,0,1,2,1,1,1,Null,Null,0
Centro America Restaurant,CENTRO AMERICA RESTAURANT,Restaurant,6135 W SAHARA 6,Las Vegas,Nevada,89146,10,6,22,0rk2_lmbfpiYXGBFmyxx9Q,Westside,3.5,39,Null,Null,2,0,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,1,Null,0,0,Null,0,1,2,1,1,1,Null,Null,0
Jack's Place,Jack's Place,Bar / Tavern,5067 E Bonanza Rd,Las Vegas,Nevada,89110,21,80,53,B-4jb44K_qPdQUB_69gZGQ,Sunrise,4.5,5,Null,Null,2,0,Null,Null,1,1,Null,0,Null,Null,Null,0,Null,Null,Null,Null,0,Null,Null,Null,1,1,1,0,Null,0,Null,Null,Null,1,1,0,Null,Null,1,Null,Null
New Day Cafe,New Day Cafe,Restaurant,467 E Silverado Ranch 100,Las Vegas,Nevada,89183,55,114,125,Yn-8zix5_blucvZo3G8kPw,Southeast,3.5,200,Null,Null,1,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,0,Null,1,3,Null,Null,1,Null,1,Null,1,0,Null,0,1,1,0,1,1,Null,Null,1
New Day Cafe,New Day Cafe,Restaurant,467 E Silverado Ranch 100,Las Vegas,Nevada,89183,55,114,125,THadh2gExZ0AxzcLJbJf9g,Southeast,3.5,24,Null,Null,2,1,Null,Null,Null,Null,Null,1,1,Null,0,Null,Null,Null,0,Null,Null,1,1,Null,Null,0,Null,1,Null,1,0,Null,0,1,1,0,1,1,Null,1,1
Tacos Y Tortas El Panzon,TACOS & TORTAS EL PANZON,Restaurant,3720 E SUNSET 110,Las Vegas,Nevada,89120,101,120,233,0xtBEP5zCu1153SoqqemLw,Southeast,4.5,143,Null,Null,0,1,Null,Null,Null,0,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,0,Null,0,0,Null,1,1,1,1,1,1,Null,1,0
Port of Subs,Port of Subs,Snack Bar,6365 S Rainbow Blvd,Las Vegas,Nevada,89118,28,56,52,Z411-jn51XGq7Xym7oWkwQ,Spring Valley,3.5,11,Null,Null,0,1,Null,Null,Null,1,0,1,1,Null,1,Null,Null,Null,0,Null,Null,1,1,Null,Null,1,Null,1,Null,1,0,Null,1,1,1,0,0,1,Null,1,1
Port of Subs,Port of Subs,Snack Bar,6365 S Rainbow Blvd,Las Vegas,Nevada,89118,28,56,52,EIeU3coTP9V2qcmHhr60Yw,Spring Valley,3.5,35,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,0,Null,1,0,Null,1,1,1,0,0,1,Null,1,0
Lucky's Lounge,LUCKY'S LOUNGE & RESTAURANT,Bar / Tavern,8025 Farm Rd,Las Vegas,Nevada,89131,36,78,75,vwfdoACBrXFTMA066gKEcQ,Centennial,3.0,26,Null,Null,2,1,Null,Null,3,1,Null,1,1,Null,Null,0,Null,Null,Null,Null,0,Null,Null,Null,1,1,1,1,Null,0,Null,Null,Null,1,2,0,Null,Null,1,1,Null
Thai Style Noodle House,CTR@SPR MTN-Thai Style Noodle House,Restaurant,3516 Wynn Rd,Las Vegas,Nevada,89103,161,74,333,VrGI7_nRjXpn0415S3coGQ,Chinatown,4.0,696,Null,Null,0,1,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,1,1,1,0,1,1,Null,1,0
Starbucks,Smith's Food King #311,Restaurant,8050 S Rainbow Blvd,Las Vegas,Nevada,89139,34,33,75,8shxmij5d2IjGLI_1riVUw,Southwest,2.0,15,Null,Null,Null,Null,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,1,Null,Null,1,Null,Null,0
Starbucks,Smith's Food King #311,Restaurant,8050 S Rainbow Blvd,Las Vegas,Nevada,89139,34,33,75,Q91cYZDYdoUB6WeVB6U6Dg,Southwest,4.0,16,Null,Null,Null,Null,Null,Null,Null,1,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,2,Null,Null,1,Null,Null,0
Starbucks,Smith's Food King #311,Restaurant,8050 S Rainbow Blvd,Las Vegas,Nevada,89139,34,33,75,gg1Qw0HhF47DCRth8jUY0A,Southwest,3.0,34,Null,Null,Null,Null,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,1,Null,Null,1,Null,Null,1
Starbucks,Smith's Food King #311,Restaurant,8050 S Rainbow Blvd,Las Vegas,Nevada,89139,34,33,75,rbFN_V-vzHLSX0XOLrMkIw,Southwest,4.0,25,Null,Null,Null,Null,Null,Null,Null,0,Null,1,2,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,1,Null,Null,1,Null,Null,1
Dairy Queen,Dairy Queen,Restaurant,10550 Southern Highlands Pkwy,Las Vegas,Nevada,89141,3,8,8,9virZ-ORrLHsv0p8EORxeg,Southwest,2.5,30,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,Null,Null,Null,Null,Null,1,Null,1,0,Null,Null,0,Null,Null,Null,0,0,Null,0,0,1,0,Null,1,Null,Null,0
Las Vegas Country Saloon,Las Vegas Country Saloon,Bar / Tavern,425 Fremont St,Las Vegas,Nevada,89101,19,0,41,hxvrzLFpNQQFKEMNSO6FlQ,Downtown,3.0,39,Null,Null,2,2,Null,Null,3,0,Null,1,2,Null,Null,0,Null,Null,0,Null,1,Null,Null,Null,1,1,1,3,Null,1,Null,Null,Null,1,2,0,Null,Null,1,1,Null
Nigerian Cuisine,NIGERIAN CUISINE,Restaurant,5006 S Maryland Pkwy 11,Las Vegas,Nevada,89119,10,18,19,yrRzB4EZb15shCOt7axnzA,Southeast,3.0,31,Null,Null,0,0,Null,Null,Null,Null,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,Null,Null,1,Null,0,0,Null,Null,1,2,1,Null,1,Null,Null,0
Los Molcajetes,Los Molcajetes,Restaurant,1553 N Eastern Ave,Las Vegas,Nevada,89101,108,143,305,T5UBAJt5Kod_wQGbH6m9hA,,4.5,157,Null,Null,2,1,Null,Null,Null,0,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,2,0,1,1,Null,1,0
Seattle Dan's Pizza,Seattle Dan's,Restaurant,8465 W Sahara Ave,Las Vegas,Nevada,89117,20,57,43,XdhJ7PjfMjBmZwvKikWlkA,Westside,3.5,47,Null,Null,0,1,Null,Null,Null,1,0,1,1,Null,1,Null,Null,Null,0,Null,Null,1,3,Null,Null,1,Null,0,Null,0,0,Null,1,1,1,1,1,1,Null,1,1
Yogurtland,Yogurtland,Restaurant,5635 Centennial Center Blvd,Las Vegas,Nevada,89149,20,81,45,Yu_WYzA4zIlCxAWqpDJchw,Northwest,4.0,91,Null,Null,Null,Null,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,1,Null,1,0
Buffalo's Pizza,Buffalo's Pizza,Restaurant,4045 S Buffalo Dr 108,Las Vegas,Nevada,89147,26,18,58,QAXFkN4iDiC1HUrkOiAAKA,Spring Valley,1.5,6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,0,Null,Null,Null,Null
Fair View Chinese Cuisine,Fair View Chinese Cuisine,Restaurant,1930 N Decatur Blvd 1,Las Vegas,Nevada,89108,59,60,144,#NAME?,,3.5,6,Null,Null,1,1,Null,Null,Null,Null,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,0,Null,0,0,Null,1,1,1,0,1,1,Null,1,0
Galanga Thai Eatery,Galanga Thai Eatery,Restaurant,8174 Las Vegas Blvd,Las Vegas,Nevada,89123,31,27,59,lG759ODx7tj6wbS7rYip1g,Southeast,4.0,231,Null,Null,0,1,Null,Null,Null,1,0,1,1,Null,1,Null,Null,Null,0,Null,Null,1,3,Null,Null,0,Null,0,Null,0,0,Null,1,1,2,1,1,1,Null,1,0
Yayo Taco,University Gardens - Yayo Taco,Restaurant,4632 S Maryland Pkwy,Las Vegas,Nevada,89119,59,0,185,yGCrsq0AYI8WN7goMVLHJA,University,3.5,206,Null,Null,2,1,Null,Null,Null,Null,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,1
Baja Fresh,Baja Fresh,Restaurant,7501 W Lake Mead Blvd,Las Vegas,Nevada,89128,81,44,180,rMVi-Vn_mN_X9J1ZSl1lWA,,3.0,35,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,0,Null,1,0,Null,0,1,1,0,0,1,Null,1,0
Masquerade Bar,Orleans Hotel and Casino,Bar / Tavern,4500 W Tropicana Ave,Las Vegas,Nevada,89103,24,0,50,DQlLXcBYhKriBx0X4ssjvg,,3.0,14,Null,Null,2,0,Null,Null,0,0,Null,1,0,Null,Null,0,Null,Null,Null,Null,0,Null,Null,Null,0,1,1,1,Null,0,Null,Null,Null,1,2,0,Null,Null,Null,Null,1
Firehouse Subs,Firehouse Subs,Restaurant,9921 W Charleston Blvd 4,Las Vegas,Nevada,89117,12,21,22,LXt2Aycp2ILMWQmKsjl4Wg,South Summerlin,4.0,96,Null,Null,0,1,Null,Null,Null,1,0,1,1,Null,1,Null,Null,Null,0,0,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,1,0
Firehouse Subs,Firehouse Subs,Restaurant,9921 W Charleston Blvd 4,Las Vegas,Nevada,89117,12,21,22,4YxFjoS28WzggYyDxGkKBg,Westside,3.5,13,Null,Null,0,0,Null,Null,Null,Null,Null,1,0,Null,1,Null,Null,Null,Null,0,Null,1,1,Null,Null,1,Null,1,Null,1,0,Null,0,1,1,0,1,1,Null,Null,Null
Pyaar India Restaurant,Pyaar India Restaurant,Restaurant,9350 W Sahara Ave 150,Las Vegas,Nevada,89117,14,28,43,VNOz_tOw_Hz3FAJeEHb_yg,Westside,3.0,20,Null,Null,1,0,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,0,0,Null,0,1,2,1,1,1,Null,1,0
Tacos El Gordo,Tacos El Gordo (Charleston),Restaurant,1724 E Charleston Blvd,Las Vegas,Nevada,89104,76,111,178,CiYLq33nAyghFkUR15pP-Q,Downtown,4.0,1492,Null,Null,0,1,Null,Null,Null,1,0,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,3,Null,Null,0,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,0
Sam Woo BBQ Restaurant,Sam Woo BBQ Restaurant @ CHINATOWN PLAZA,Restaurant,4215 Spring Mountain Rd,Las Vegas,Nevada,89102,145,188,276,DVfCbJhJUDWRlUfrKzaKOA,Chinatown,2.0,532,Null,Null,0,1,0,1,Null,0,Null,0,1,Null,0,Null,0,Null,0,Null,Null,1,2,Null,Null,0,Null,1,Null,0,0,Null,0,1,2,0,1,1,Null,1,0
Flame Kabob,Flame Kabob,Restaurant,8665 W Flamingo Rd,Las Vegas,Nevada,89147,1,8,8,#NAME?,Spring Valley,3.0,6,Null,Null,0,0,Null,Null,Null,Null,Null,1,5,Null,1,Null,Null,Null,0,Null,Null,1,0,Null,Null,1,Null,0,Null,0,0,Null,0,1,2,0,0,1,Null,1,0
Paradise Boba Tea and Smoothie,Paradise Boba Tea and Smoothie,Restaurant,1910 Village Center Cir,Las Vegas,Nevada,89134,13,24,25,CTN5Z3fs3jFHfyma8XxzVg,Summerlin,3.5,21,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,Null,1,Null,Null,Null,Null,Null,Null
Lou's Diner,LOU'S DINER,Restaurant,431 S DECATUR,Las Vegas,Nevada,89107,53,49,135,EwxhzR-VghhMsRObXLMitw,Westside,4.5,276,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,1,Null,Null,1,3,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,1,1,1,Null,1,1
Teriyaki Madness,Teriyaki Madness,Restaurant,9845 S Maryland Pkwy,Las Vegas,Nevada,89183,93,54,211,#NAME?,Southeast,3.5,141,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,0,Null,Null,1,2,Null,Null,0,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,1
Edible Arrangements,EDIBLE ARRANGEMENTS,Restaurant,8520 W DESERT INN Rd E4,Las Vegas,Nevada,89117,2,3,3,h-9Kk7uTIud4_wM4RaxwrA,Westside,2.5,19,Null,Null,Null,Null,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,2,Null,Null,1,Null,Null,Null
Taqueria El Tizon Grill,Taqueria El Tizon Grill,Restaurant,3266 N Las Vegas Blvd,Las Vegas,Nevada,89115,61,3,114,UVqelOc_xJwy6lfnOhiCLQ,Sunrise,3.5,20,Null,Null,0,2,Null,Null,Null,0,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,2,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0
Joe's Crab Shack,Joe's Crab Shack,Restaurant,1991 N Rainbow Blvd,Las Vegas,Nevada,89108,27,41,57,YUE5S4ReiM4dq9qkKbDMwg,,3.5,199,Null,Null,2,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,3,Null,Null,1,Null,1,Null,1,0,Null,0,1,2,1,1,1,Null,Null,0
Black Bear Diner,Black Bear Diner,Restaurant,6180 W Tropicana Ave,Las Vegas,Nevada,89103,39,120,92,PQER4ba8Q0zqB1G2QiXamQ,,4.0,1031,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,3,Null,Null,0,Null,1,Null,0,0,Null,0,1,2,0,1,1,Null,1,0
New York Chinese Restaurant,New York Chinese Restaurant - Ft Apache,Restaurant,3545 S Fort Apache Rd,Las Vegas,Nevada,89147,115,160,243,dblGQtHAzNy1ACis1m2shw,Spring Valley,3.5,155,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,0,Null,0,0,Null,1,1,1,0,0,1,Null,1,0
New York Chinese Restaurant,New York Chinese Restaurant,Restaurant,3545 S Fort Apache Rd,Las Vegas,Nevada,89147,3,9,9,dblGQtHAzNy1ACis1m2shw,Spring Valley,3.5,155,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,0,Null,0,0,Null,1,1,1,0,0,1,Null,1,0
Top This Pizza,Top This Pizza,Restaurant,1105 E Tropicana Ave,Las Vegas,Nevada,89119,40,72,89,Ijdoi6pDMK3Burw3TtAOZg,University,2.5,35,Null,Null,0,0,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,1,Null,0,0,Null,1,1,2,0,0,1,Null,Null,1
Tony's Mexican Food,Tony's Mexican Food - Meadows Mall,Restaurant,4300 Meadows Ln 504,Las Vegas,Nevada,89107,12,0,18,eU_XJ4uNAlRoH4tNfWtz9g,Westside,4.0,5,Null,Null,0,Null,Null,Null,Null,Null,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,1,0,Null,Null,Null,Null,Null,Null,0,0,Null,Null,1,2,0,Null,1,Null,Null,Null
Market Grille Cafe,Market Grille Cafe,Restaurant,7175 W Lake Mead Blvd,Las Vegas,Nevada,89128,33,102,79,ZgWjkMSzIV9fAuJJQXSUvA,,4.0,428,Null,Null,1,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,3,Null,Null,1,Null,1,Null,1,0,Null,0,1,2,0,0,1,Null,1,0
Pho Saigon 8,Pho Saigon 8,Restaurant,9055 S Eastern Ave 1-C,Las Vegas,Nevada,89123,121,116,311,YavRvjbLsvh4DYDJPAfJIA,Southeast,3.5,461,Null,Null,1,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,1,1,1,Null,1,0
Stadium Saloon,Stadium Saloon,Bar / Tavern,6016 Boulder Hwy,Las Vegas,Nevada,89122,49,75,93,wdLDTuAxZy2GY5NaQQ6GHQ,Southeast,2.5,5,Null,Null,2,0,Null,Null,3,1,Null,1,0,Null,Null,0,Null,Null,Null,Null,1,Null,Null,Null,1,1,0,1,Null,0,Null,Null,Null,1,1,0,Null,Null,1,Null,1
Sushi Yamaguchi,Sushi Yamaguchi,Restaurant,5900 W Charleston Blvd,Las Vegas,Nevada,89146,80,55,173,NkuLKJJE_KxcxKs8Kj8thQ,Westside,4.0,36,Null,Null,1,1,Null,Null,Null,1,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,1,1,Null,Null,0,Null,0,0,0,0,Null,0,1,2,1,1,1,Null,1,0
Happy's Pizza,Happy's Pizza,Restaurant,6110 W Flamingo,Las Vegas,Nevada,89103,58,72,121,EkOqxlglUpw9YUdnTbbJKg,,3.0,31,Null,Null,0,1,Null,Null,Null,0,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,0,Null,1,Null,1,0,Null,1,1,2,0,0,1,Null,Null,1
Due Forni,DUE FORNI,Restaurant,3555 S Town Center Dr,Las Vegas,Nevada,89135,21,26,35,bPcqucuuClxYrIM8xWoArg,South Summerlin,4.0,461,Null,Null,2,1,Null,Null,3,1,Null,1,1,Null,1,0,Null,Null,1,Null,0,1,2,Null,0,1,1,1,Null,1,0,Null,0,1,2,1,1,1,0,1,1
Beau Monde Bakery,BEAU MONDE BAKERY,Bakery Sales,2380 N BUFFALO Dr 110,Las Vegas,Nevada,89128,9,0,7,_OTl6V2oUfMMmoDWD2nXVg,Summerlin,4.0,84,Null,Null,Null,Null,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,2,Null,Null,1,Null,Null,Null
