Accepts Apple Pay,business_accepts_bitcoin,business_accepts_creditcards,Accepts Google Pay,alcohol,ambience,restaurants_attire,best_nights,bike_parking,byappointmentonly,Cannabis Products,caters,coat_check,restaurants_delivery,dogs_allowed,drive_thru,Gender Neutral Restrooms,Good For,good_for_dancing,restaurants_good_for_groups,good_for_kids,Good for Working,happy_hour,Has Dairy-free Options,Has Gluten-free Options,Has Halal Options,Has Kosher Options,Has Pool Table,Has Soy-free Options,has_tv,Liked by Vegans,Liked by Vegetarians,Music,noise_level,Offers Military Discount,Open to All,outdoor_seating,business_parking,smoking,restaurants_takeout,restaurants_reservations,Waiter Service,wheelchair_accessible,wifi,business_id
No,No,Yes,No,No,Casual,Casual,Null,Yes,Null,,No,Null,Yes,No,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Yes,Yes,,Average,Null,,No,Street,Null,Yes,No,Yes,Yes,No,VrGI7_nRjXpn0415S3coGQ
Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,No,Null,Null,Yes,Null,Null,Null,No,8shxmij5d2IjGLI_1riVUw
Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,No,Null,Null,Yes,Null,Null,Null,No,Q91cYZDYdoUB6WeVB6U6Dg
Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,No,Null,Null,Yes,Null,Null,Null,Free,gg1Qw0HhF47DCRth8jUY0A
Null,Null,Yes,Yes,Null,Null,Null,Null,No,Null,,No,Null,Null,Null,Null,Yes,Null,Null,Null,Null,Yes,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,No,"Garage, Private Lot",Null,Yes,Null,Null,Null,Free,rbFN_V-vzHLSX0XOLrMkIw
No,Null,Yes,Null,No,Null,Null,Null,Yes,Null,,Null,Null,No,Null,Yes,Null,Null,Null,No,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,No,Null,Null,Yes,No,Null,Null,No,9virZ-ORrLHsv0p8EORxeg
Null,Null,Yes,Null,Full Bar,"Divey, Casual",Null,"Thu, Fri, Sat",No,Null,,Null,Null,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,Null,,Null,,,Null,,Yes,Null,Null,Live,Very Loud,Null,,Yes,"Garage, Validated",Null,Null,No,Null,Null,Null,hxvrzLFpNQQFKEMNSO6FlQ
Null,Null,Yes,Null,No,Null,Casual,Null,Null,Null,,Yes,Null,Null,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Null,Null,Null,,Average,Null,,No,Null,Null,Yes,Yes,Null,Null,No,yrRzB4EZb15shCOt7axnzA
No,Null,Yes,No,Full Bar,Casual,Casual,Null,No,Null,,No,Null,No,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,T5UBAJt5Kod_wQGbH6m9hA
No,No,Yes,No,No,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,No,Null,Null,"Brunch, Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Yes,,No,Private Lot,Null,Yes,Yes,Yes,Yes,Free,XdhJ7PjfMjBmZwvKikWlkA
No,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Yes,Null,Null,Null,No,Yu_WYzA4zIlCxAWqpDJchw
Null,Null,Null,Null,Null,Null,Casual,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,QAXFkN4iDiC1HUrkOiAAKA
No,No,Yes,No,No,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Lunch, Dinner, Dessert",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Yes,Yes,,Quiet,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,lG759ODx7tj6wbS7rYip1g
Null,Null,Yes,Null,Full Bar,Hipster,Casual,Null,Null,Null,,No,Null,No,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Yes,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Free,yGCrsq0AYI8WN7goMVLHJA
Null,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,No,rMVi-Vn_mN_X9J1ZSl1lWA
No,Null,Yes,Null,Full Bar,Null,Null,Null,No,Null,,Null,No,Null,Null,Null,Null,Null,No,Yes,Null,Null,No,,Null,,,Yes,,Yes,Null,Null,,Average,Null,,No,Null,Null,Null,No,Null,Null,Free,DQlLXcBYhKriBx0X4ssjvg
Yes,No,Yes,Yes,No,Casual,Null,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Yes,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,LXt2Aycp2ILMWQmKsjl4Wg
Null,Null,Yes,Null,No,Null,Null,Null,Null,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Null,Null,Yes,No,Null,Null,Null,4YxFjoS28WzggYyDxGkKBg
Null,Null,Yes,Null,Beer & Wine Only,Null,Casual,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,VNOz_tOw_Hz3FAJeEHb_yg
No,No,Yes,No,No,Casual,Casual,Null,Yes,Null,,No,Null,No,No,Null,Null,"Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,No,CiYLq33nAyghFkUR15pP-Q
No,Null,No,No,No,Casual,Casual,Null,No,Null,,No,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,DVfCbJhJUDWRlUfrKzaKOA
Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Yes,Private Lot,Null,Null,Null,Null,Null,Null,CTN5Z3fs3jFHfyma8XxzVg
No,Null,Yes,No,No,Casual,Null,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Breakfast, Brunch, Lunch",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,Free,EwxhzR-VghhMsRObXLMitw
No,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Yes,Null,Null,Null,Null,h-9Kk7uTIud4_wM4RaxwrA
Yes,Null,Yes,Null,No,"Divey, Casual",Casual,Null,No,Null,,No,Null,No,Null,Null,Null,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Loud,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,UVqelOc_xJwy6lfnOhiCLQ
Yes,Null,Yes,Null,Full Bar,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,Yes,Null,Null,No,YUE5S4ReiM4dq9qkKbDMwg
No,Null,Yes,No,No,Casual,Null,Null,Yes,Null,,No,Null,No,Yes,No,Null,"Breakfast, Brunch, Lunch",Null,Yes,Yes,Null,Null,Yes,Yes,,,Null,,No,Null,Yes,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,PQER4ba8Q0zqB1G2QiXamQ
Null,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Yes,,Quiet,Null,,No,Private Lot,Null,Yes,No,No,Null,No,dblGQtHAzNy1ACis1m2shw
Null,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Yes,,Quiet,Null,,No,Private Lot,Null,Yes,No,No,Null,No,dblGQtHAzNy1ACis1m2shw
Null,Null,Yes,Null,No,Null,Null,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,Free,Ijdoi6pDMK3Burw3TtAOZg
Null,Null,Yes,Null,No,Null,Casual,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,No,Null,Null,Yes,No,Null,Null,Null,eU_XJ4uNAlRoH4tNfWtz9g
No,Null,Yes,Yes,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Lunch, Dinner, Dessert",Null,Yes,Yes,Null,Null,Yes,Yes,,Yes,Null,,Yes,Yes,Yes,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,No,ZgWjkMSzIV9fAuJJQXSUvA
No,Null,Yes,No,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Yes,,Average,Null,,No,Null,Null,Yes,Yes,Yes,Null,No,YavRvjbLsvh4DYDJPAfJIA
Yes,Null,Yes,Yes,Full Bar,Null,Null,"Thu, Fri, Sat",Yes,Null,,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,Yes,,Null,,,Yes,,Yes,Null,Null,,Average,Null,,No,Null,Yes,Null,No,Null,Null,Free,wdLDTuAxZy2GY5NaQQ6GHQ
Null,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,NkuLKJJE_KxcxKs8Kj8thQ
Null,Null,Yes,Null,No,Casual,Casual,Null,No,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Free,EkOqxlglUpw9YUdnTbbJKg
No,Null,Yes,Null,Full Bar,Casual,Casual,Null,Yes,Null,,Yes,No,No,Null,Null,Yes,"Lunch, Dinner",No,Yes,Yes,Null,Null,,Null,,,No,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,No,Yes,Yes,Null,Null,Free,bPcqucuuClxYrIM8xWoArg
No,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Yes,Null,Null,Null,Null,_OTl6V2oUfMMmoDWD2nXVg
Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Yes,Private Lot,Null,Yes,Null,Null,Null,Free,_axD8DiO1to9Am8xJjtKHw
No,Null,Yes,Null,Full Bar,Null,Null,Null,Yes,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,,Null,,,No,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Null,No,Null,Null,Free,jkhEPQovg6JKPzUr43MC_g
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Breakfast, Lunch, Late Night",Null,No,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,eqRYda9F_4ziinRW-N6ixw
No,Null,Yes,No,No,Null,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Breakfast, Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,No,Null,No,RhV7sraRUB3km-gF-tmDow
No,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,No,No,Null,Null,"Breakfast, Brunch, Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Yes,Yes,,Average,Null,,No,Null,Null,Yes,No,No,Null,No,D74O-i-iEWo-e5BpwFMcUA
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Breakfast, Lunch, Late Night",Null,No,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,eqRYda9F_4ziinRW-N6ixw
No,Null,Yes,No,No,Null,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Breakfast, Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,No,Null,No,RhV7sraRUB3km-gF-tmDow
No,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,No,No,Null,Null,"Breakfast, Brunch, Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Yes,Yes,,Average,Null,,No,Null,Null,Yes,No,No,Null,No,D74O-i-iEWo-e5BpwFMcUA
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Breakfast, Lunch, Late Night",Null,No,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,eqRYda9F_4ziinRW-N6ixw
No,Null,Yes,No,No,Null,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Breakfast, Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,No,Null,No,RhV7sraRUB3km-gF-tmDow
No,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,No,No,Null,Null,"Breakfast, Brunch, Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Yes,Yes,,Average,Null,,No,Null,Null,Yes,No,No,Null,No,D74O-i-iEWo-e5BpwFMcUA
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Breakfast, Lunch, Late Night",Null,No,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,eqRYda9F_4ziinRW-N6ixw
No,Null,Yes,No,No,Null,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Breakfast, Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,No,Null,No,RhV7sraRUB3km-gF-tmDow
No,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,No,No,Null,Null,"Breakfast, Brunch, Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Yes,Yes,,Average,Null,,No,Null,Null,Yes,No,No,Null,No,D74O-i-iEWo-e5BpwFMcUA
Yes,Null,Yes,No,Full Bar,Casual,Casual,Null,Yes,Null,,No,Null,No,No,Null,Null,"Lunch, Dinner, Dessert",Null,Yes,Yes,Null,Yes,Yes,Yes,,,Null,,Yes,Null,Yes,,Average,Null,,No,Private Lot,Null,Yes,Yes,Yes,Null,Free,gqcJHVFCPeBRGnDf8bFzMw
No,Null,Yes,No,Full Bar,Casual,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Yes,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,j5nPiTwWEFr-VsePew7Sjg
Null,Null,Yes,Null,No,Null,Null,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Null,Null,Yes,No,Null,Null,No,Wo_ZL7I3hS-eW6pJWg1V8A
No,Null,Yes,Yes,Null,Null,Null,Null,Yes,Null,,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Yes,Null,Null,Null,No,1Vn_lex3LGGwuTo-xeJnww
Null,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Garage,Null,Yes,No,Null,Null,No,FCP5hYaTtn6dkpmZ_NTvEw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Null,Null,Null,No,Null,Null,Null,crGdKSRKi25R2vorZ7skzg
No,Null,No,No,Full Bar,Null,Null,Null,Yes,Null,,Null,Null,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,Yes,,Null,,,No,,Yes,Null,Null,,Average,Null,,No,Null,Null,Null,No,Null,Null,Free,_WfdPyh065bo59USqPi9xQ
No,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Breakfast, Lunch",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,No,dYZqJ2S1ND9KghLIKJg71g
