Accepts Apple Pay,Accepts Bitcoin,Accepts Credit Cards,Accepts Google Pay,Alcohol,Ambience,Attire,Best Nights,Bike Parking,By Appointment Only,Caters,Coat Check,Delivery,Dogs Allowed,Drive-Thru,Gender Neutral Restrooms,Good For,Good For Dancing,Good for Groups,Good for Kids,Good for Working,Happy Hour,Has Gluten-free Options,Has Pool Table,Has TV,Liked by Vegans,Liked by Vegetarians,Noise Level,Offers Military Discount,Outdoor Seating,Parking,Price,Smoking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,business_id
No,,Yes,,,,,,Yes,,No,,,,,,,,,Yes,,Yes,,,,,,Average,,,Private Lot,,,Yes,,,Yes,,XeDLyY2a7nZ3IEY4RYslXA
Yes,,Yes,,Full Bar,Casual,Casual,"Thu, Sat, Sun",Yes,,Yes,,Yes,,,,"Lunch, Dinner, Dessert",,Yes,Yes,,Yes,,No,Yes,,,Average,,No,Private Lot,,,Yes,Yes,Yes,,No,MDVbJicJvqaO4WGx0vEabQ
,,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAcaGYggq4RBbFdEueB2qw
No,No,No,No,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zh6fxrqsKqdSVmTK3roxBQ
,,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,No,No,,,,sOkQ2Y1-D8h18oN5NgxuLg
Yes,,Yes,Yes,,,,,Yes,,No,,,,,Yes,,,,,Yes,,,,,,,,,Yes,,,,Yes,,,,Free,OyJDaAAMr220qkZsovCARQ
No,,Yes,No,Full Bar,Casual,Casual,Sat,Yes,,,No,Yes,,,,"Lunch, Dinner",No,Yes,Yes,,Yes,,No,Yes,,,Average,,No,Private Lot,,No,Yes,Yes,Yes,Yes,Free,lv5Bnqlt93NnvNJ2oNcQ8Q
,,Yes,,No,,,,Yes,,Yes,,Yes,,,,,,Yes,Yes,,,,,No,,,Average,,No,,,,Yes,No,,,,D1TaFES4phv65RmsM8VCiA
,,Yes,,Full Bar,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,Yes,Private Lot,,,,,,,,vTch8eXerkbaJbmkmYwCEw
No,,Yes,,Beer & Wine Only,Casual,Casual,,No,,No,,No,,,,"Lunch, Dinner",,Yes,Yes,,,,,Yes,,,Average,,Yes,,,,Yes,No,No,,Free,glkEaoxbewiSMBiXs945JA
No,,Yes,No,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Private Lot,,,Yes,,,,,3TX-5V6MuGPKnZv6gW1nsg
,,Yes,,No,,Casual,,No,,No,,No,,,,Lunch,,No,Yes,,,,,No,,,Average,,No,,,,Yes,No,No,,No,lYCeqldIiOggsbByH3RRhw
No,No,Yes,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,"Garage, Private Lot",,,No,,,,,tA1oBX1q6Aqj8UG3y-SqTA
,,Yes,,Beer & Wine Only,,,,,,Yes,,No,,,,,,Yes,Yes,,,,,Yes,,,Quiet,,Yes,,,,Yes,,,,,juuv0QPE_MfnVjevQTpCDg
,,Yes,,No,Casual,Casual,,No,,Yes,,Yes,,,,Lunch,,Yes,Yes,,,,,No,,,Average,,No,Private Lot,,,Yes,Yes,Yes,Yes,No,DbK9fyJq4O4zfT1jv6JOhw
No,,Yes,No,Beer & Wine Only,Casual,Casual,,Yes,,No,,No,,,,"Lunch, Dinner, Dessert",,Yes,Yes,,,,,Yes,Yes,Yes,Average,,No,Private Lot,,,Yes,Yes,,Yes,No,PChG1Dm0A6AXIXkXGVK8Fw
No,,Yes,Yes,No,Casual,Casual,,Yes,,Yes,,No,,,,"Brunch, Lunch, Dinner, Dessert",,Yes,Yes,,,,,Yes,,,Average,,No,Private Lot,,,Yes,Yes,Yes,,No,owxcYAUca_6K6BAUX4V48w
No,,Yes,No,No,Casual,Casual,,Yes,,No,,No,,,,"Lunch, Dinner",,Yes,Yes,,,,,Yes,Yes,Yes,Average,,Yes,Private Lot,,,Yes,No,,,Free,WSGHEQdcdbBWXDpna99EiQ
,,Yes,,Full Bar,,,,Yes,,,,,,,,,,Yes,,,Yes,,,Yes,,,Loud,,No,,,,,No,,,,0aDCv4zPhzy7RklHDrnKQg
,,Yes,,No,,Casual,,Yes,,,,Yes,,,,,,Yes,Yes,,,,,No,,,,,No,"Garage, Private Lot",,,Yes,No,,,No,rWkQMRI6PRo5woBaxGD68g
No,,Yes,Yes,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,Private Lot,,,No,,,,,b6rE18Z5DLJfUGjH85maSg
No,,Yes,,No,Divey,Casual,,Yes,,Yes,,Yes,No,,,"Breakfast, Brunch, Lunch",,Yes,Yes,,,,,Yes,,,Average,,No,"Street, Private Lot",,,Yes,Yes,Yes,Yes,No,Kx0MUrNQ737s-VVElk6Vig
No,,Yes,,No,Casual,Casual,,Yes,,Yes,,Yes,,,Yes,Lunch,,Yes,Yes,,,,,Yes,,,Average,Yes,Yes,Private Lot,,,Yes,No,Yes,Yes,No,FW_zg6VuyW5v_vM394gWAw
No,,Yes,No,Full Bar,Casual,Casual,,Yes,,Yes,,No,,,,"Lunch, Dinner",,Yes,Yes,,,,,No,,Yes,Average,,No,Private Lot,,,Yes,Yes,,,No,r8Jr-7YfkhJL2nxk9lxUNg
,,Yes,,Full Bar,"Casual, Trendy",Casual,,,,Yes,,No,,,,,,Yes,Yes,,,,,Yes,,,Average,,No,Private Lot,,,Yes,Yes,,,No,yUqJReOv26454QkjGz37Yw
No,,Yes,,No,Casual,,,Yes,,No,,Yes,,,,,,Yes,Yes,,,,,No,Yes,Yes,Average,,No,Garage,,,Yes,No,,,No,NGp1HTYrPg3pMP-tXeLf-g
,,Yes,,No,,Casual,,,,,,No,,,,,,Yes,Yes,,,,,No,,,Loud,,Yes,,,,Yes,No,,,,kDZm3fZcLhotRwC50XE_qg
,,Yes,,Full Bar,Trendy,Casual,,,,,,No,,,,,,Yes,No,,Yes,,,Yes,,,Average,,Yes,"Garage, Street, Private Lot",,,Yes,Yes,,,No,stbX9rtRIpDF-VymOwHJ8w
No,,Yes,,Full Bar,Casual,Casual,,Yes,,No,,No,,,,"Breakfast, Lunch, Dinner",,Yes,Yes,,,,,Yes,,,Average,,No,Private Lot,,,Yes,No,,,No,cQzFj5GNz8l_VMJJnW4mLw
No,,Yes,,Full Bar,Casual,,,No,,,,,,,,,,Yes,,,,,No,Yes,,,Loud,,No,,,,,No,,,No,GutGxr0snLHD0uNPpJ7ypA
,,Yes,,No,,,,Yes,,Yes,,No,,,,,,Yes,Yes,,,,,No,,,Average,,No,,,,Yes,No,,,No,YYRP-b61hjDljhWBfmUlDg
,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,oJ7mF-fW8GuEoUZ8BSA37Q
No,,Yes,No,Full Bar,Casual,Casual,"Fri, Sat, Sun",No,,No,,No,,,,"Lunch, Dinner",No,Yes,No,,,,No,Yes,,,Average,,Yes,"Valet, Garage",,,Yes,Yes,,,Free,dn_ipqbm7_jUz5X3rDez_A
,,Yes,,Full Bar,,,,No,,,,,,,,,,Yes,,,,,,Yes,,,Average,,No,,,,,,,,,rVjPKBRVMFNgFWFCjbIMag
,,Yes,,Full Bar,Casual,,,No,,No,,No,,,,"Breakfast, Brunch, Lunch",,Yes,Yes,,,,,No,Yes,Yes,Average,,No,Garage,,,Yes,No,,,No,ZosrzTfiiPhbURA04AQTUA
,,Yes,,Full Bar,Divey,,,No,,,,,,,,,,Yes,No,,,,,No,,,Loud,,No,Garage,,,,,,,,bzwLwNB4i38hE-hUKMbH5w
,,Yes,,Full Bar,Trendy,,,No,,,,,,,,,,Yes,,,,,,No,,,Loud,,No,Garage,,,,,,,,nEAoUNf1HrXAWidrwocozg
No,,Yes,,No,Casual,,,Yes,,No,,No,,Yes,,"Lunch, Dessert",,Yes,Yes,,,,,No,,,Average,,No,,,,Yes,No,No,,No,qrjRRBOUmN7MFxBQNuJZIA
No,No,Yes,No,Beer & Wine Only,Casual,Casual,,Yes,,Yes,,No,No,,,"Lunch, Dinner",,Yes,Yes,,,,,Yes,,,Quiet,,No,Private Lot,,,Yes,Yes,Yes,,Free,5yZ1XmDcOEsElDeb9PlPDQ
