RestaurantName,LocationName,CategoryName,Address_x,City_x,State_x,Zip,Violations,CurrentDemerits,InspectionDemerits,CurrentScore,InspectionScore,CurrentGrade,InspectionGrade,BusinessId,Neighborhood,Address_y,City_y,State_y,Stars,ReviewCount,AcceptsInsurance,AgesAllowed,Alcohol,Ambience,BYOB,BYOBCorkage,BestNights,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking,ByAppointmentOnly,Caters,CoatCheck,Corkage,DietaryRestrictions,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal,HairSpecializesIn,HappyHour,HasTV,Music,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsCounterService,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi
Spicy Pickle,Spicy Pickle,Restaurant,7271 Amigo St,Las Vegas,Nevada,89119.0,16,0.0,29.0,95.0,95.0,A,A,iWox6NQVA76eH61toMhxfA,Southeast,"7271 Amigo St, Ste 180",Las Vegas,NV,3.0,94,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,0.0,Null,Null,1.0,1.0,Null,Null,0.0,Null,1.0,Null,1.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,0.0
Chicago Dogs,Chicago Dogs - Napoli Plaza,Restaurant,2055 E Tropicana Ave 11,Las Vegas,Nevada,89119.0,32,36.0,79.0,95.0,80.0,A,B,p9WVPQVhVzbBh_KEWJ21Ug,Eastside,2055 E Tropicana Ave,Las Vegas,NV,3.0,4,Null,Null,Null,0.0,Null,Null,Null,Null,Null,Null,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,1.0,Null,0.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
Dragon Wok,Dragon Wok,Restaurant,3350 Novat St 135,Las Vegas,Nevada,89129.0,128,108.0,212.0,95.0,90.55555555555556,A,A,ujBk7cdEvo5FkD1e0Gzq1Q,Northwest,"3350 Novat St, Ste 135",Las Vegas,NV,2.5,51,Null,Null,0.0,0.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,1.0,1.0,2,0.0,1.0,1.0,Null,1.0,0.0
Original Pancake House,Original Pancake House,Restaurant,4170 S Fort Apache Rd,Las Vegas,Nevada,89147.0,38,39.0,86.0,95.0,94.16666666666669,A,A,XkvvUNCmLIvOts0OftXegw,Spring Valley,4170 S Ft Apache Rd,Las Vegas,NV,3.5,360,Null,Null,0.0,1.0,Null,Null,Null,1.0,0.0,1.0,1.0,Null,0.0,Null,Null,Null,0.0,Null,Null,1.0,2.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,Null,1.0,0.0
Just a Bite Cheesecakes,Elite Catering - Just a Bite Chees,Main Kitchen,3310 S Nellis Blvd 18,Las Vegas,Nevada,89121.0,1,1.0,1.0,95.0,95.0,A,A,rLYDibyzkA4Dlreqf6YEQA,Eastside,3430 E Tropicana,Las Vegas,NV,5.0,28,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.0,Null,2,Null,Null,1.0,Null,1.0,Null
Centro America Restaurant,CENTRO AMERICA RESTAURANT,Restaurant,"6135 W SAHARA 6,7&8",Las Vegas,Nevada,89146.0,113,132.0,274.0,95.0,89.54545454545455,A,B,0rk2_lmbfpiYXGBFmyxx9Q,Westside,6135 W Sahara Ave,Las Vegas,NV,3.5,39,Null,Null,2.0,0.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,Null,Null,0.0
Centro America Restaurant,CENTRO AMERICA RESTAURANT,Restaurant,6135 W SAHARA 6,Las Vegas,Nevada,89146.0,10,6.0,22.0,95.0,90.0,A,A,0rk2_lmbfpiYXGBFmyxx9Q,Westside,6135 W Sahara Ave,Las Vegas,NV,3.5,39,Null,Null,2.0,0.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,Null,Null,0.0
Jack's Place,Jack's Place,Bar / Tavern,5067 E Bonanza Rd,Las Vegas,Nevada,89110.0,21,80.0,53.0,95.0,89.54545454545455,A,B,B-4jb44K_qPdQUB_69gZGQ,Sunrise,5067 E Bonanza Rd,Las Vegas,NV,4.5,5,Null,Null,2.0,0.0,Null,Null,1.0,1.0,Null,0.0,Null,Null,Null,0.0,Null,Null,Null,Null,0.0,Null,Null,Null,1.0,1.0,1.0,0.0,Null,0.0,Null,Null,Null,1.0,1,0.0,Null,Null,1.0,Null,Null
New Day Cafe,New Day Cafe,Restaurant,467 E Silverado Ranch 100,Las Vegas,Nevada,89183.0,55,114.0,125.0,95.0,92.85714285714286,A,A,Yn-8zix5_blucvZo3G8kPw,Southeast,"467 E Silverado Ranch Blvd, Ste 100",Las Vegas,NV,3.5,200,Null,Null,1.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,0.0,Null,1.0,3.0,Null,Null,1.0,Null,1.0,Null,1.0,0.0,Null,0.0,1.0,1,0.0,1.0,1.0,Null,Null,1.0
New Day Cafe,New Day Cafe,Restaurant,467 E Silverado Ranch 100,Las Vegas,Nevada,89183.0,55,114.0,125.0,95.0,92.85714285714286,A,A,THadh2gExZ0AxzcLJbJf9g,Southeast,9890 S Maryland Pkwy,Las Vegas,NV,3.5,24,Null,Null,2.0,1.0,Null,Null,Null,Null,Null,1.0,1.0,Null,0.0,Null,Null,Null,0.0,Null,Null,1.0,1.0,Null,Null,0.0,Null,1.0,Null,1.0,0.0,Null,0.0,1.0,1,0.0,1.0,1.0,Null,1.0,1.0
Tacos Y Tortas El Panzon,TACOS & TORTAS EL PANZON,Restaurant,3720 E SUNSET 110,Las Vegas,Nevada,89120.0,101,120.0,233.0,95.0,87.0,A,B,0xtBEP5zCu1153SoqqemLw,Southeast,"3720 E Sunset Rd, Ste 110",Las Vegas,NV,4.5,143,Null,Null,0.0,1.0,Null,Null,Null,0.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,1.0,Null,0.0,Null,0.0,0.0,Null,1.0,1.0,1,1.0,1.0,1.0,Null,1.0,0.0
Port of Subs,Port of Subs,Snack Bar,6365 S Rainbow Blvd,Las Vegas,Nevada,89118.0,28,56.0,52.0,95.0,95.0,A,A,Z411-jn51XGq7Xym7oWkwQ,Spring Valley,"5801 S Decatur Blvd, Ste 160",Las Vegas,NV,3.5,11,Null,Null,0.0,1.0,Null,Null,Null,1.0,0.0,1.0,1.0,Null,1.0,Null,Null,Null,0.0,Null,Null,1.0,1.0,Null,Null,1.0,Null,1.0,Null,1.0,0.0,Null,1.0,1.0,1,0.0,0.0,1.0,Null,1.0,1.0
Port of Subs,Port of Subs,Snack Bar,6365 S Rainbow Blvd,Las Vegas,Nevada,89118.0,28,56.0,52.0,95.0,95.0,A,A,EIeU3coTP9V2qcmHhr60Yw,Spring Valley,"6080 W Badura Ave, Ste 140",Las Vegas,NV,3.5,35,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,1.0,Null,0.0,Null,1.0,0.0,Null,1.0,1.0,1,0.0,0.0,1.0,Null,1.0,0.0
Lucky's Lounge,LUCKY'S LOUNGE & RESTAURANT,Bar / Tavern,8025 Farm Rd,Las Vegas,Nevada,89131.0,36,78.0,75.0,95.0,93.57142857142857,A,A,vwfdoACBrXFTMA066gKEcQ,Centennial,8025 Farm Rd,Las Vegas,NV,3.0,26,Null,Null,2.0,1.0,Null,Null,3.0,1.0,Null,1.0,1.0,Null,Null,0.0,Null,Null,Null,Null,0.0,Null,Null,Null,1.0,1.0,1.0,1.0,Null,0.0,Null,Null,Null,1.0,2,0.0,Null,Null,1.0,1.0,Null
Thai Style Noodle House,CTR@SPR MTN-Thai Style Noodle House,Restaurant,3516 Wynn Rd,Las Vegas,Nevada,89103.0,161,74.0,333.0,95.0,88.2,A,B,VrGI7_nRjXpn0415S3coGQ,Chinatown,3516 Wynn Rd,Las Vegas,NV,4.0,696,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,1.0,1.0,1,0.0,1.0,1.0,Null,1.0,0.0
Starbucks,Smith's Food King #311,Restaurant,8050 S Rainbow Blvd,Las Vegas,Nevada,89139.0,34,33.0,75.0,95.0,93.46153846153848,A,A,8shxmij5d2IjGLI_1riVUw,Southwest,8050 S Rainbow Blvd,Las Vegas,NV,2.0,15,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,1,Null,Null,1.0,Null,Null,0.0
Starbucks,Smith's Food King #311,Restaurant,8050 S Rainbow Blvd,Las Vegas,Nevada,89139.0,34,33.0,75.0,95.0,93.46153846153848,A,A,Q91cYZDYdoUB6WeVB6U6Dg,Southwest,7350 S Rainbow Blvd,Las Vegas,NV,4.0,16,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,2,Null,Null,1.0,Null,Null,0.0
Starbucks,Smith's Food King #311,Restaurant,8050 S Rainbow Blvd,Las Vegas,Nevada,89139.0,34,33.0,75.0,95.0,93.46153846153848,A,A,gg1Qw0HhF47DCRth8jUY0A,Southwest,4100 Blue Diamond Rd,Las Vegas,NV,3.0,34,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,1,Null,Null,1.0,Null,Null,1.0
Starbucks,Smith's Food King #311,Restaurant,8050 S Rainbow Blvd,Las Vegas,Nevada,89139.0,34,33.0,75.0,95.0,93.46153846153848,A,A,rbFN_V-vzHLSX0XOLrMkIw,Southwest,3333 Blue Diamond Rd,Las Vegas,NV,4.0,25,Null,Null,Null,Null,Null,Null,Null,0.0,Null,1.0,2.0,Null,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,1,Null,Null,1.0,Null,Null,1.0
Dairy Queen,Dairy Queen,Restaurant,10550 Southern Highlands Pkwy,Las Vegas,Nevada,89141.0,3,8.0,8.0,95.0,95.0,A,A,9virZ-ORrLHsv0p8EORxeg,Southwest,10410 S Decatur Blvd,Las Vegas,NV,2.5,30,Null,Null,0.0,0.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,0.0,Null,Null,0.0,Null,Null,Null,0.0,0.0,Null,0.0,0.0,1,0.0,Null,1.0,Null,Null,0.0
Las Vegas Country Saloon,Las Vegas Country Saloon,Bar / Tavern,425 Fremont St,Las Vegas,Nevada,89101.0,19,0.0,41.0,95.0,91.25,A,A,hxvrzLFpNQQFKEMNSO6FlQ,Downtown,425 Fremont St,Las Vegas,NV,3.0,39,Null,Null,2.0,2.0,Null,Null,3.0,0.0,Null,1.0,2.0,Null,Null,0.0,Null,Null,0.0,Null,1.0,Null,Null,Null,1.0,1.0,1.0,3.0,Null,1.0,Null,Null,Null,1.0,2,0.0,Null,Null,1.0,1.0,Null
Nigerian Cuisine,NIGERIAN CUISINE,Restaurant,5006 S Maryland Pkwy 11,Las Vegas,Nevada,89119.0,10,18.0,19.0,95.0,95.0,A,A,yrRzB4EZb15shCOt7axnzA,Southeast,"5006 S Maryland Pkwy, Ste 11",Las Vegas,NV,3.0,31,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,1.0,0.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,Null,Null,Null,Null,Null,1.0,Null,0.0,0.0,Null,Null,1.0,2,1.0,Null,1.0,Null,Null,0.0
Los Molcajetes,Los Molcajetes,Restaurant,1553 N Eastern Ave,Las Vegas,Nevada,89101.0,108,143.0,305.0,95.0,84.04761904761905,A,B,T5UBAJt5Kod_wQGbH6m9hA,,1553 N Eastern Ave,Las Vegas,NV,4.5,157,Null,Null,2.0,1.0,Null,Null,Null,0.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,0.0,1.0,1.0,Null,1.0,0.0
Seattle Dan's Pizza,Seattle Dan's,Restaurant,8465 W Sahara Ave,Las Vegas,Nevada,89117.0,20,57.0,43.0,95.0,95.0,A,A,XdhJ7PjfMjBmZwvKikWlkA,Westside,"8465 W Sahara Ave, Ste 114",Las Vegas,NV,3.5,47,Null,Null,0.0,1.0,Null,Null,Null,1.0,0.0,1.0,1.0,Null,1.0,Null,Null,Null,0.0,Null,Null,1.0,3.0,Null,Null,1.0,Null,0.0,Null,0.0,0.0,Null,1.0,1.0,1,1.0,1.0,1.0,Null,1.0,1.0
Yogurtland,Yogurtland,Restaurant,5635 Centennial Center Blvd,Las Vegas,Nevada,89149.0,20,81.0,45.0,95.0,95.0,A,A,Yu_WYzA4zIlCxAWqpDJchw,Northwest,"5635 Centennial Center Blvd, Ste 120",Las Vegas,NV,4.0,91,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,1.0,Null,1.0,0.0
Buffalo's Pizza,Buffalo's Pizza,Restaurant,4045 S Buffalo Dr 108,Las Vegas,Nevada,89147.0,26,18.0,58.0,95.0,86.66666666666669,A,B,QAXFkN4iDiC1HUrkOiAAKA,Spring Valley,"4045 S Buffalo Dr, Ste 108",Las Vegas,NV,1.5,6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,0.0,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null
Fair View Chinese Cuisine,Fair View Chinese Cuisine,Restaurant,1930 N Decatur Blvd 1,Las Vegas,Nevada,89108.0,59,60.0,144.0,95.0,78.5,A,C,-vb_yx5QnIhpXUIdPVD2og,,"1930 N Decatur Blvd, Ste 1",Las Vegas,NV,3.5,6,Null,Null,1.0,1.0,Null,Null,Null,Null,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,0.0,Null,0.0,Null,0.0,0.0,Null,1.0,1.0,1,0.0,1.0,1.0,Null,1.0,0.0
Galanga Thai Eatery,Galanga Thai Eatery,Restaurant,8174 Las Vegas Blvd,Las Vegas,Nevada,89123.0,31,27.0,59.0,95.0,93.88888888888887,A,A,lG759ODx7tj6wbS7rYip1g,Southeast,"8174 S Las Vegas Blvd, Ste 108",Las Vegas,NV,4.0,231,Null,Null,0.0,1.0,Null,Null,Null,1.0,0.0,1.0,1.0,Null,1.0,Null,Null,Null,0.0,Null,Null,1.0,3.0,Null,Null,0.0,Null,0.0,Null,0.0,0.0,Null,1.0,1.0,2,1.0,1.0,1.0,Null,1.0,0.0
Yayo Taco,University Gardens - Yayo Taco,Restaurant,4632 S Maryland Pkwy,Las Vegas,Nevada,89119.0,59,0.0,185.0,95.0,86.0,A,B,yGCrsq0AYI8WN7goMVLHJA,University,4632 S Maryland Pkwy,Las Vegas,NV,3.5,206,Null,Null,2.0,1.0,Null,Null,Null,Null,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,1.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,1.0
Baja Fresh,Baja Fresh,Restaurant,7501 W Lake Mead Blvd,Las Vegas,Nevada,89128.0,81,44.0,180.0,93.0,90.0,A,A,rMVi-Vn_mN_X9J1ZSl1lWA,,"7501 W Lake Mead Blvd, Ste 100",Las Vegas,NV,3.0,35,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,0.0,Null,0.0,Null,1.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,0.0
Masquerade Bar,Orleans Hotel and Casino,Bar / Tavern,4500 W Tropicana Ave,Las Vegas,Nevada,89103.0,24,0.0,50.0,95.0,94.0,A,A,DQlLXcBYhKriBx0X4ssjvg,,3700 W Flamingo Rd,Las Vegas,NV,3.0,14,Null,Null,2.0,0.0,Null,Null,0.0,0.0,Null,1.0,0.0,Null,Null,0.0,Null,Null,Null,Null,0.0,Null,Null,Null,0.0,1.0,1.0,1.0,Null,0.0,Null,Null,Null,1.0,2,0.0,Null,Null,Null,Null,1.0
Firehouse Subs,Firehouse Subs,Restaurant,9921 W Charleston Blvd 4,Las Vegas,Nevada,89117.0,12,21.0,22.0,95.0,95.0,A,A,LXt2Aycp2ILMWQmKsjl4Wg,South Summerlin,"9921 W Charleston Blvd, Ste 4",Las Vegas,NV,4.0,96,Null,Null,0.0,1.0,Null,Null,Null,1.0,0.0,1.0,1.0,Null,1.0,Null,Null,Null,0.0,0.0,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,0.0
Firehouse Subs,Firehouse Subs,Restaurant,9921 W Charleston Blvd 4,Las Vegas,Nevada,89117.0,12,21.0,22.0,95.0,95.0,A,A,4YxFjoS28WzggYyDxGkKBg,Westside,"7865 W. Sahara Blvd., Ste 105",Las Vegas,NV,3.5,13,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,1.0,0.0,Null,1.0,Null,Null,Null,Null,0.0,Null,1.0,1.0,Null,Null,1.0,Null,1.0,Null,1.0,0.0,Null,0.0,1.0,1,0.0,1.0,1.0,Null,Null,Null
Pyaar India Restaurant,Pyaar India Restaurant,Restaurant,9350 W Sahara Ave 150,Las Vegas,Nevada,89117.0,14,28.0,43.0,95.0,90.0,A,A,VNOz_tOw_Hz3FAJeEHb_yg,Westside,"9350 W Sahara Ave, Ste 150",Las Vegas,NV,3.0,20,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,Null,1.0,0.0
Tacos El Gordo,Tacos El Gordo (Charleston),Restaurant,1724 E Charleston Blvd,Las Vegas,Nevada,89104.0,76,111.0,178.0,95.0,86.42857142857143,A,B,CiYLq33nAyghFkUR15pP-Q,Downtown,1724 E Charleston Blvd,Las Vegas,NV,4.0,1492,Null,Null,0.0,1.0,Null,Null,Null,1.0,0.0,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,3.0,Null,Null,0.0,Null,1.0,Null,1.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,0.0
