BusinessId,RestaurantName,Neighborhood,Address,City,State,Zip,Stars,ReviewCount,AcceptsInsurance,AgesAllowed,Alcohol,Ambience,BYOB,BYOBCorkage,BestNights,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking,ByAppointmentOnly,Caters,CoatCheck,Corkage,DietaryRestrictions,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal,HairSpecializesIn,HappyHour,HasTV,Music,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsCounterService,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi
F7OsiFk9aLZtqZczA84xpw,Popeyes Louisiana Kitchen,Southeast,4910 S Maryland Pkwy,Las Vegas,NV,89119.0,2.0,56,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,1.0,Null,1.0,2.0,Null,Null,0.0,Null,0.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
XeDLyY2a7nZ3IEY4RYslXA,Chicago Brewing Company,Westside,2201 S Fort Apache Rd,Las Vegas,NV,89117.0,3.5,446,Null,Null,2.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,3.0,Null,Null,1.0,Null,1.0,Null,1.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,Null,1.0,0.0
MDVbJicJvqaO4WGx0vEabQ,Chili's,Southeast,7530 S Las Vegas Blvd,Las Vegas,NV,89123.0,3.0,230,Null,Null,2.0,1.0,Null,Null,3.0,1.0,Null,1.0,1.0,Null,1.0,0.0,Null,Null,Null,Null,0.0,1.0,3.0,Null,1.0,1.0,0.0,1.0,Null,0.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,0.0,1.0,0.0
AAcaGYggq4RBbFdEueB2qw,Green Valley Grocery,Spring Valley,6875 W Russell Rd,Las Vegas,NV,89118.0,5.0,3,Null,Null,Null,Null,Null,Null,Null,0.0,Null,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2,Null,Null,Null,Null,1.0,Null
Zh6fxrqsKqdSVmTK3roxBQ,Triumph Property Management,Summerlin,"911 North Buffalo Dr, Ste 202",Las Vegas,NV,89128.0,1.5,66,Null,Null,Null,Null,Null,Null,Null,Null,0.0,0.0,Null,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
sOkQ2Y1-D8h18oN5NgxuLg,Haddies Car Wash and Convenience store,Spring Valley,9920 West Flamingo Rd,Las Vegas,NV,89147.0,5.0,9,Null,Null,Null,0.0,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,2,0.0,Null,0.0,Null,Null,Null
OyJDaAAMr220qkZsovCARQ,Starbucks,Null,"751 N Rancho Dr, Ste 110",Las Vegas,NV,89106.0,3.0,49,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,0.0,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,Null,Null,0.0,Null,1,Null,Null,1.0,Null,Null,1.0
lv5Bnqlt93NnvNJ2oNcQ8Q,Los Cucos Mexican Cafe,Spring Valley,7315 Arroyo Crossing Pkwy,Las Vegas,NV,89113.0,4.0,313,Null,Null,2.0,1.0,Null,Null,1.0,1.0,Null,1.0,1.0,Null,1.0,0.0,Null,Null,Null,Null,0.0,1.0,2.0,Null,1.0,1.0,0.0,1.0,Null,0.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,0.0,1.0,1.0
D1TaFES4phv65RmsM8VCiA,Domino's Pizza,Summerlin,"8532 Del Webb Blvd, Ste 116",Las Vegas,NV,89134.0,2.5,27,Null,Null,0.0,0.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,1.0,1.0,2,0.0,Null,1.0,Null,0.0,Null
vTch8eXerkbaJbmkmYwCEw,One Six Sky Lounge,Null,5255 Boulder Hwy,Las Vegas,NV,89122.0,3.5,10,Null,Null,2.0,Null,Null,Null,3.0,Null,Null,1.0,1.0,Null,Null,0.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,Null,Null,1.0,Null,Null,Null,1.0,1,Null,Null,Null,1.0,1.0,Null
glkEaoxbewiSMBiXs945JA,800 Degrees,The Strip,3770 Las Vegas Blvd S,Las Vegas,NV,89109.0,3.5,466,Null,Null,1.0,1.0,Null,Null,Null,0.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,1.0,0.0,Null,0.0,1.0,2,0.0,0.0,1.0,Null,Null,1.0
3TX-5V6MuGPKnZv6gW1nsg,Cardenas,Sunrise,4421 E Bonanza Rd,Las Vegas,NV,89110.0,4.0,55,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,1.0,Null,1.0,Null
lYCeqldIiOggsbByH3RRhw,Metro Pizza,Southeast,5757 Wayne Newton Blvd,Las Vegas,NV,89119.0,2.5,21,Null,Null,0.0,0.0,Null,Null,Null,0.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
tA1oBX1q6Aqj8UG3y-SqTA,IT'SUGAR,Southeast,"6587 Las Vegas Blvd S, Ste 176",Las Vegas,NV,89119.0,4.0,59,Null,Null,Null,Null,Null,Null,Null,1.0,0.0,1.0,2.0,Null,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2,Null,Null,0.0,Null,1.0,Null
juuv0QPE_MfnVjevQTpCDg,Manhattan Streets,The Strip,"3717 S Las Vegas Blvd, Ste 210",Las Vegas,NV,89109.0,3.5,7,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,1.0,0.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,1.0,Null,0.0,Null,1.0,0.0,Null,0.0,1.0,1,Null,0.0,1.0,Null,Null,Null
DbK9fyJq4O4zfT1jv6JOhw,Pam Real Thai Las Vegas,Chinatown,3650 S Decatur Blvd,Las Vegas,NV,89103.0,4.0,77,Null,Null,0.0,1.0,Null,Null,Null,0.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,1.0,1.0,1,1.0,1.0,1.0,Null,1.0,0.0
PChG1Dm0A6AXIXkXGVK8Fw,Sasa Sushi,Northwest,"7450 W Cheyenne Ave, Ste 118",Las Vegas,NV,89129.0,4.0,509,Null,Null,1.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,3.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,Null,1.0,0.0
owxcYAUca_6K6BAUX4V48w,D'Pinoy Joint,Southeast,"7680 S Las Vegas Blvd, Ste 202",Las Vegas,NV,89123.0,4.5,134,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,4.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,Null,Null,0.0
WSGHEQdcdbBWXDpna99EiQ,Teriyaki Madness,Null,7481 West Lake Mead,Las Vegas,NV,89128.0,3.5,119,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,0.0,Null,Null,1.0,1.0,Null,Null,1.0,Null,1.0,Null,1.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,1.0
0aDCv4zPhzy7RklHDrnKQg,Lucie's Lounge,Sunrise,"3935 E Charleston Blvd, Ste A",Las Vegas,NV,89104.0,4.0,10,Null,Null,2.0,0.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,Null,0.0,Null,Null,Null,Null,1.0,Null,Null,Null,1.0,1.0,0.0,2.0,Null,0.0,Null,Null,Null,1.0,1,Null,Null,Null,Null,Null,Null
rWkQMRI6PRo5woBaxGD68g,Viva Café Espresso Bar,Westside,"Meadows Mall, 4300 Meadows Ln, Ste 5150",Las Vegas,NV,89107.0,4.0,8,Null,Null,Null,Null,Null,Null,Null,0.0,0.0,1.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,1,Null,Null,Null,Null,1.0,0.0
b6rE18Z5DLJfUGjH85maSg,The Vitacost Store,Southeast,840 Pilot Rd,Las Vegas,NV,89119.0,4.0,59,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2,Null,Null,0.0,Null,Null,Null
Kx0MUrNQ737s-VVElk6Vig,Las Delicias De Las Vegas,The Strip,2129 Industrial Rd,Las Vegas,NV,89102.0,4.0,62,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,2.0,Null,1.0,Null,Null,Null,0.0,Null,Null,1.0,3.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,1.0,1.0,1,1.0,1.0,1.0,Null,1.0,0.0
FW_zg6VuyW5v_vM394gWAw,Rocco's NY Pizzeria,Summerlin,1910 Village Center Cir,Las Vegas,NV,89134.0,3.5,121,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,1.0,0.0,Null,1.0,1.0,2,0.0,1.0,1.0,Null,1.0,0.0
r8Jr-7YfkhJL2nxk9lxUNg,Frank & Fina's Cocina,Spring Valley,4175 S Grand Canyon Dr,Las Vegas,NV,89147.0,4.0,381,Null,Null,2.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,Null,1.0,0.0
yUqJReOv26454QkjGz37Yw,Shobu,Chinatown,"3650 S Decatur Blvd, Ste 31",Las Vegas,NV,89103.0,4.0,27,Null,Null,2.0,2.0,Null,Null,3.0,Null,Null,1.0,1.0,Null,1.0,0.0,Null,Null,Null,Null,0.0,1.0,2.0,Null,0.0,1.0,2.0,1.0,Null,0.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,0.0,1.0,0.0
NGp1HTYrPg3pMP-tXeLf-g,Fatburger,Null,2101 Texas Star Ln,Las Vegas,NV,89032.0,2.5,22,Null,Null,0.0,1.0,0.0,1.0,Null,1.0,Null,1.0,1.0,Null,0.0,Null,0.0,Null,Null,0.0,Null,1.0,3.0,Null,Null,0.0,Null,1.0,1.0,0.0,0.0,Null,0.0,1.0,2,0.0,0.0,1.0,Null,1.0,0.0
kDZm3fZcLhotRwC50XE_qg,Super B Burrito,Null,604 N Rainbow Blvd,Las Vegas,NV,89122.0,4.0,13,Null,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,0.0,Null,2.0,Null,1.0,0.0,Null,0.0,1.0,2,0.0,0.0,1.0,Null,Null,Null
stbX9rtRIpDF-VymOwHJ8w,Nu Sanctuary Lounge,Southeast,"6605 S Las Vegas Blvd, Ste 145",Las Vegas,NV,89119.0,2.5,69,Null,Null,2.0,1.0,Null,Null,3.0,Null,Null,1.0,3.0,Null,Null,0.0,Null,Null,Null,Null,1.0,0.0,1.0,Null,1.0,1.0,2.0,1.0,Null,1.0,0.0,Null,0.0,1.0,3,1.0,1.0,1.0,1.0,1.0,0.0
cQzFj5GNz8l_VMJJnW4mLw,The Edge of Town,Summerlin,10490 W Cheyenne Ave,Las Vegas,NV,89129.0,3.5,96,Null,Null,2.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,3.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,0.0,1.0,1.0,Null,1.0,0.0
GutGxr0snLHD0uNPpJ7ypA,The B Lounge,Southeast,"5757 Wayne Newton Blvd, Terminal 1, Gate A",Las Vegas,NV,89119.0,2.0,11,Null,Null,2.0,1.0,Null,Null,0.0,0.0,Null,1.0,0.0,Null,Null,0.0,Null,Null,Null,Null,0.0,Null,Null,Null,0.0,1.0,0.0,2.0,Null,0.0,Null,Null,Null,1.0,2,0.0,Null,Null,0.0,Null,0.0
YYRP-b61hjDljhWBfmUlDg,KFC,Null,4924 Boulder Hwy,Las Vegas,NV,89121.0,2.0,21,Null,Null,0.0,0.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,1.0,Null,Null,Null,Null,1.0,Null,1.0,0.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,3,0.0,0.0,1.0,Null,Null,0.0
oJ7mF-fW8GuEoUZ8BSA37Q,Aquatic Treasures,Northwest,"3211 N Tenaya Way, Ste 107",Las Vegas,NV,89129.0,4.5,41,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.0,Null
dn_ipqbm7_jUz5X3rDez_A,Todd English P.U.B.,The Strip,3720 S Las Vegas Blvd,Las Vegas,NV,89158.0,3.5,1405,Null,Null,2.0,1.0,Null,Null,3.0,0.0,Null,1.0,2.0,0.0,0.0,0.0,Null,Null,Null,Null,0.0,0.0,2.0,Null,1.0,1.0,0.0,1.0,Null,1.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,2.0,1.0,1.0
rVjPKBRVMFNgFWFCjbIMag,Ozzie's,Chinatown,5020 Spring Mountain Rd,Las Vegas,NV,89146.0,4.0,16,Null,Null,2.0,0.0,Null,Null,2.0,0.0,Null,1.0,0.0,Null,Null,0.0,Null,Null,Null,Null,0.0,Null,Null,Null,0.0,1.0,1.0,1.0,Null,0.0,Null,Null,Null,1.0,1,Null,Null,Null,1.0,Null,Null
ZosrzTfiiPhbURA04AQTUA,Pyramid Cafe,The Strip,3900 Las Vegas Blvd S,Las Vegas,NV,89109.0,3.0,281,Null,Null,2.0,1.0,0.0,1.0,Null,0.0,Null,1.0,1.0,Null,0.0,Null,0.0,Null,Null,0.0,Null,1.0,3.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,0.0,1.0,1.0,Null,1.0,0.0
bzwLwNB4i38hE-hUKMbH5w,Andrew Dice Clay,Eastside,4455 Paradise Rd,Las Vegas,NV,89169.0,3.5,28,Null,Null,2.0,1.0,Null,Null,Null,0.0,Null,1.0,1.0,Null,Null,0.0,Null,Null,Null,Null,0.0,0.0,Null,Null,0.0,0.0,0.0,2.0,Null,0.0,Null,Null,Null,1.0,2,Null,Null,Null,0.0,Null,Null
nEAoUNf1HrXAWidrwocozg,Vanity Nightclub,Eastside,4455 Paradise Rd,Las Vegas,NV,89169.0,3.5,192,Null,Null,2.0,1.0,Null,Null,3.0,0.0,Null,1.0,1.0,Null,Null,0.0,Null,Null,Null,Null,1.0,Null,Null,Null,0.0,0.0,1.0,2.0,Null,0.0,Null,Null,Null,1.0,3,Null,Null,Null,1.0,1.0,Null
qrjRRBOUmN7MFxBQNuJZIA,Checkers,Eastside,"4501 Paradise Rd, Ste 410",Las Vegas,NV,89169.0,2.0,59,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,1.0,Null,1.0,2.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
5yZ1XmDcOEsElDeb9PlPDQ,Yagyu Ramen,Chinatown,"4355 W Spring Mountain Rd, Ste 107",Las Vegas,NV,89102.0,4.0,150,Null,Null,1.0,1.0,Null,Null,Null,1.0,0.0,1.0,1.0,Null,1.0,Null,Null,Null,0.0,Null,Null,1.0,2.0,Null,Null,1.0,Null,0.0,Null,0.0,0.0,Null,0.0,1.0,1,1.0,1.0,1.0,Null,Null,1.0
joykx2LTxkBKvh-fEk4aKw,Lucio Ristorante,Null,5900 W Flamingo Rd,Las Vegas,NV,89103.0,2.0,12,Null,Null,2.0,0.0,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,Null,Null,Null,1.0,Null,0.0,Null,0.0,0.0,Null,0.0,1.0,3,1.0,1.0,Null,Null,Null,Null
FbayoQWK77lRJ7Luo2WKlA,Panda Express,Downtown,32100 S Las Vegas Blvd,Las Vegas,NV,89101.0,2.0,4,Null,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.0,Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null
2QznyHGF0PuiYkrl5RU66A,Playa Papagayos,Westside,"4760 W Sahara Ave, Ste 21",Las Vegas,NV,89102.0,4.5,127,Null,Null,1.0,1.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,1.0,0.0,Null,Null,Null,Null,0.0,1.0,4.0,Null,1.0,1.0,0.0,0.0,Null,1.0,0.0,Null,0.0,1.0,1,1.0,1.0,1.0,2.0,1.0,0.0
3Nx9NCzMTXC6jFgdk2mDGg,Charlie's Market Buffet,Null,4575 Boulder Hwy,Las Vegas,NV,89121.0,2.5,15,Null,Null,2.0,0.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,0.0,Null,Null,Null,0.0,0.0,Null,0.0,1.0,1,0.0,1.0,0.0,Null,1.0,0.0
Izuc4hE7h053dLOHAW99OQ,German Bread Bakery,Southeast,9255 S Eastern Ave,Las Vegas,NV,89123.0,4.0,84,Null,Null,Null,Null,Null,Null,Null,1.0,0.0,1.0,1.0,Null,0.0,Null,Null,Null,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,1,Null,Null,1.0,Null,1.0,Null
-1uVyyy3UXNA9WoPucNniA,La Tapatia Market,Null,"8826 S Eastern Ave, Ste 100",Las Vegas,NV,89123.0,5.0,31,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,1.0,Null,1.0,Null
LPnbHWVedn2oX3WGkHOJSQ,Jason's Deli,Null,100 N City Pkwy,Las Vegas,NV,89106.0,3.5,47,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,1.0,Null,1.0,Null,1.0,0.0,Null,1.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
GH5gbLHw05toW6ePNIUzTw,Los Toritos Express,Sunrise,5780 E Charleston Blvd,Las Vegas,NV,89110.0,4.0,7,Null,Null,0.0,0.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,1.0,Null,2.0,Null,0.0,0.0,Null,1.0,1.0,1,0.0,1.0,1.0,Null,Null,0.0
aF6cB7BtV3lXQhJoLuESGw,La Mojarra Loca,Sunrise,"821 N Lamb Blvd, Ste 14",Las Vegas,NV,89110.0,4.0,44,Null,Null,1.0,1.0,Null,Null,Null,0.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,0.0,1.0,1.0,Null,Null,0.0
ibFdignja_hNpgCjDYP7Ug,Wahoo's Fish Tacos,Spring Valley,7020 W Sunset Rd,Las Vegas,NV,89113.0,4.0,260,Null,Null,2.0,1.0,Null,Null,Null,1.0,0.0,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,3.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,1.0,1.0,1,0.0,1.0,1.0,Null,1.0,1.0
HV2vPReKp0n0E6zgjsu4Mg,Garnachas Mexican Street Food,Westside,"3111 S Valley View Blvd, Ste K107",Las Vegas,NV,89102.0,4.5,51,Null,Null,2.0,1.0,Null,Null,Null,1.0,0.0,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,1.0
axmTTwzbbRt8u3ZWWXsMEw,Putter's Bar & Grill,Null,5750 S Decatur Blvd,Las Vegas,NV,89118.0,4.0,11,Null,Null,2.0,1.0,Null,Null,0.0,0.0,Null,1.0,1.0,Null,Null,0.0,Null,Null,Null,Null,0.0,Null,Null,Null,1.0,1.0,0.0,1.0,Null,0.0,Null,Null,Null,1.0,1,0.0,Null,Null,Null,Null,Null
tzoUxh1HXllUijtAkO6w0Q,Peking Express Chinese Restaurant,Sunrise,719 N Nellis Blvd,Las Vegas,NV,89110.0,2.5,3,Null,Null,Null,0.0,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,0.0,Null,0.0,0.0,Null,Null,Null,1,Null,Null,1.0,Null,Null,Null
G8SFOD9TKCSic2o0hyKc0Q,Ace Of Steaks,Westside,"5825 W Sahara Ave, Ste M",Las Vegas,NV,89146.0,4.5,35,Null,Null,2.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,3.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,1.0,1.0,3,1.0,1.0,1.0,Null,1.0,1.0
