zip_code,violations,rating,drive_thru,good_for_kids,good_for_meal,noise_level,restaurants_table_service,accepts_apple_pay,waiter_service,inspection_grade
89117,42,3.5,-1,1,1,2,0,-1,-1,C
89104,94,4.5,-1,1,-1,1,1,-1,-1,B
89183,26,3.5,-1,1,3,2,0,0,0,A
89128,57,3.5,-1,1,1,1,0,0,-1,A
89146,37,2.5,-1,1,3,1,0,0,-1,B
89130,121,2.5,-1,1,1,-1,0,-1,-1,B
89128,53,3.5,0,1,3,1,0,0,0,B
89146,3,3.5,-1,-1,-1,-1,-1,-1,-1,A
89147,14,4.0,-1,1,1,1,0,-1,-1,A
89110,57,2.5,1,1,1,1,0,-1,-1,A
89110,57,4.0,-1,1,0,1,0,0,-1,A
89102,68,3.0,-1,1,1,1,1,-1,-1,B
89148,23,4.0,-1,1,-1,1,-1,-1,-1,A
89123,1,4.0,-1,1,-1,-1,-1,-1,-1,A
89110,64,4.5,-1,1,2,1,0,0,0,A
89148,82,3.5,-1,1,2,1,1,1,-1,A
89108,56,4.0,-1,1,0,1,0,-1,-1,B
89108,56,3.0,0,1,3,1,0,-1,0,B
89117,79,4.0,-1,1,2,1,0,0,0,A
89117,20,3.5,-1,1,-1,1,-1,0,-1,A
89103,32,2.5,-1,0,-1,1,0,-1,0,A
89139,1,4.5,-1,1,-1,-1,1,0,1,A
89117,33,4.0,-1,1,1,1,1,-1,-1,B
89178,7,2.5,-1,-1,-1,-1,-1,-1,-1,A
89118,142,3.5,-1,1,4,1,0,0,-1,B
89103,32,3.0,-1,1,2,1,1,-1,-1,B
89104,50,2.5,-1,1,1,1,1,-1,-1,A
89145,7,3.5,-1,1,1,1,1,-1,-1,A
89119,24,4.0,-1,1,3,1,0,0,-1,A
89129,30,2.5,-1,1,2,0,0,-1,-1,A
89119,34,4.0,-1,1,-1,0,-1,0,-1,A
89123,18,4.5,-1,1,1,1,0,1,0,A
89147,39,4.0,-1,1,-1,1,-1,-1,-1,A
89109,132,4.0,-1,1,2,0,1,0,1,B
89178,21,3.5,-1,-1,-1,1,-1,0,-1,A
89123,25,3.5,-1,1,2,1,0,0,-1,A
89118,25,3.5,1,1,4,1,0,0,-1,B
89118,25,3.0,1,1,2,1,0,0,0,B
89128,70,3.5,-1,1,2,1,1,0,-1,A
89108,34,2.5,-1,1,0,0,1,-1,-1,C
89149,6,3.0,-1,1,2,0,1,-1,-1,A
89103,104,3.5,-1,1,2,1,1,0,-1,B
89102,135,4.0,-1,1,2,1,1,0,1,B
89147,24,4.0,-1,1,-1,1,-1,0,-1,A
89104,142,3.5,0,1,0,0,-1,-1,-1,B
89102,14,4.5,-1,1,-1,0,-1,-1,-1,A
89128,5,4.5,-1,1,2,1,0,-1,-1,A
89139,22,4.0,-1,1,-1,1,-1,-1,-1,A
89134,20,3.5,-1,1,2,0,1,-1,-1,A
89101,3,4.0,-1,1,-1,1,-1,-1,-1,A
89118,96,3.5,-1,1,2,1,1,0,-1,B
89119,37,4.0,-1,1,2,0,0,1,-1,A
89141,67,2.5,-1,1,1,1,0,-1,-1,A
89108,25,4.5,-1,0,3,1,1,0,-1,A
89145,44,3.5,-1,1,2,0,1,-1,-1,A
89102,46,3.5,-1,1,2,1,1,-1,-1,B
89123,14,3.5,-1,1,1,1,0,-1,-1,A
89156,27,3.5,-1,1,1,1,0,0,0,A
89103,68,4.5,-1,1,3,1,1,0,1,A
89129,69,4.0,-1,1,1,0,1,0,-1,B
89117,45,4.0,-1,0,1,1,1,1,-1,A
89147,26,3.5,-1,0,2,1,1,-1,-1,A
89104,93,4.0,-1,1,2,1,0,0,-1,B
89103,74,3.5,-1,1,2,1,0,0,0,B
89130,45,3.5,-1,1,3,2,0,0,-1,A
89130,45,4.0,-1,1,1,1,0,-1,-1,A
89115,46,4.5,-1,1,2,1,1,0,1,A
89113,35,4.5,-1,1,0,0,0,-1,-1,A
89119,7,2.5,-1,1,0,1,-1,-1,-1,B
89119,7,3.5,-1,1,1,0,0,1,-1,B
89119,7,4.0,-1,1,1,0,0,0,-1,B
89103,67,3.0,-1,1,2,0,0,0,-1,B
89119,43,4.5,-1,0,-1,1,-1,-1,-1,A
89110,56,3.5,-1,0,0,0,1,-1,-1,C
89113,67,4.5,-1,1,3,1,0,0,-1,A
89128,16,4.5,-1,1,-1,1,-1,0,-1,A
89104,90,2.5,-1,1,1,1,0,-1,-1,B
89107,85,3.0,-1,1,4,0,1,1,-1,B
89120,47,3.0,0,1,3,1,0,0,-1,B
89129,72,3.0,-1,1,2,1,1,0,1,A
89102,89,4.0,-1,1,2,1,0,0,-1,B
89115,34,4.5,-1,1,-1,1,-1,-1,-1,B
89147,38,3.5,0,1,2,1,1,-1,1,A
89178,23,3.5,-1,1,2,1,0,-1,-1,A
89106,33,2.5,1,1,0,2,0,0,-1,A
89106,33,3.5,0,1,2,1,0,-1,-1,A
89121,89,4.0,-1,1,1,1,0,-1,-1,B
89131,12,2.5,-1,0,-1,-1,-1,-1,-1,A
89121,22,4.0,-1,1,2,0,1,-1,-1,A
89117,48,4.5,-1,1,2,1,1,0,1,A
89129,28,2.5,0,1,1,1,1,-1,-1,A
89129,28,2.5,0,1,0,0,0,0,-1,A
89129,28,2.0,0,1,1,0,0,-1,-1,A
89129,28,2.5,0,1,1,1,0,-1,-1,A
89129,28,2.5,0,1,0,0,0,-1,-1,A
89121,11,4.5,-1,1,0,1,0,-1,-1,A
89123,167,3.5,-1,1,2,1,1,0,-1,B
89156,19,4.0,-1,1,-1,0,-1,-1,-1,A
89119,38,3.0,0,1,2,1,0,0,-1,A
89123,84,3.5,-1,1,1,0,1,-1,-1,B
89103,89,2.5,-1,1,3,0,1,0,-1,B
89118,42,4.5,-1,1,-1,1,-1,0,-1,A
89104,67,3.5,-1,1,0,1,0,-1,-1,B
89149,22,3.0,-1,1,5,1,1,0,1,A
89101,45,3.0,-1,0,-1,3,-1,0,-1,A
89103,27,4.0,-1,1,2,1,0,0,-1,A
89103,180,3.5,-1,1,2,1,1,0,-1,B
89102,25,4.5,-1,1,0,0,1,0,-1,A
89113,10,3.0,-1,1,3,1,1,-1,-1,A
89146,99,4.0,-1,1,2,1,1,0,-1,A
89145,41,4.0,-1,1,2,1,0,0,0,A
89101,19,3.0,-1,1,0,1,1,-1,-1,B
89102,33,4.0,-1,-1,-1,-1,-1,1,-1,A
89147,59,4.0,-1,1,2,0,1,1,-1,A
89102,120,3.5,-1,1,3,1,1,0,1,B
89148,40,3.5,-1,1,2,1,0,1,-1,A
89106,23,3.5,-1,1,-1,1,-1,-1,-1,A
89119,7,2.5,-1,0,1,1,1,-1,-1,A
89104,1,5.0,-1,1,-1,0,-1,0,1,A
89123,4,4.5,-1,0,0,1,-1,1,-1,A
89147,57,3.0,-1,1,2,1,0,1,-1,A
89123,2,4.0,-1,1,1,0,0,-1,-1,A
89135,45,3.0,-1,-1,-1,-1,-1,1,-1,A
89117,28,4.0,0,1,1,1,0,1,-1,A
89139,55,3.5,0,1,3,1,1,0,-1,A
89103,35,3.5,-1,1,-1,-1,-1,0,-1,B
89130,21,4.0,-1,1,0,1,1,-1,-1,A
89145,52,3.0,-1,1,1,1,0,-1,-1,A
89103,53,3.5,-1,1,3,0,0,-1,-1,A
89103,42,3.5,-1,0,0,1,-1,-1,-1,A
89169,51,4.5,-1,1,-1,1,-1,0,-1,A
89103,34,4.0,-1,1,1,0,0,0,-1,A
89135,7,3.5,-1,1,0,1,-1,0,-1,A
89135,23,4.5,-1,1,-1,1,-1,-1,-1,A
89102,83,3.0,-1,1,2,0,0,0,-1,A
89117,7,2.0,-1,1,0,1,0,-1,-1,A
89115,54,4.5,-1,1,1,1,1,1,-1,A
89128,90,3.5,-1,1,2,0,1,-1,1,B
89122,58,3.5,-1,1,1,1,0,0,-1,A
89117,55,4.0,-1,1,3,1,0,0,-1,A
89146,103,3.5,-1,1,2,1,1,0,1,B
89102,30,4.0,-1,1,0,1,-1,1,-1,B
89146,98,4.0,-1,1,2,1,1,0,-1,B
89122,55,4.5,-1,1,2,1,1,0,-1,A
89115,76,3.5,-1,1,1,1,1,-1,-1,A
89149,33,4.0,-1,1,2,1,1,0,1,A
89103,93,3.5,-1,1,2,0,1,0,-1,B
89145,117,3.5,-1,1,2,1,1,0,-1,B
89147,61,3.5,-1,1,2,1,0,0,0,A
89139,13,3.5,-1,1,2,0,1,0,-1,A
89121,65,4.5,-1,1,1,1,1,0,1,A
89130,9,3.0,-1,-1,-1,-1,-1,-1,-1,A
89123,5,4.5,-1,-1,-1,3,-1,-1,-1,A
89117,31,3.5,-1,1,2,1,0,0,-1,B
89146,89,4.5,-1,1,2,1,0,0,-1,B
89139,43,3.0,0,1,2,2,1,0,-1,A
89130,3,4.0,-1,1,2,1,1,-1,-1,A
89123,73,4.0,-1,1,2,1,1,0,-1,A
89121,70,2.5,-1,1,-1,1,-1,0,-1,B
89119,45,3.5,-1,1,3,2,1,0,-1,C
89131,35,2.5,-1,-1,-1,-1,-1,0,-1,A
89101,50,4.0,-1,1,-1,3,-1,0,-1,A
89117,7,4.5,-1,-1,-1,-1,-1,1,-1,A
89101,45,4.0,-1,1,3,1,0,-1,-1,B
89108,64,3.0,-1,1,0,3,0,-1,-1,A
89104,58,4.0,-1,-1,-1,-1,-1,0,-1,A
89183,19,3.0,-1,1,1,1,0,-1,-1,A
89147,13,3.0,-1,1,2,0,1,-1,-1,A
89118,14,3.5,-1,1,2,-1,1,-1,-1,B
89134,9,3.0,-1,1,2,1,0,-1,-1,A
89178,33,4.0,-1,1,-1,1,-1,1,-1,A
89117,66,3.5,-1,1,2,1,1,0,-1,A
89101,67,3.0,-1,1,-1,1,-1,-1,-1,A
89123,1,2.5,-1,1,-1,1,-1,-1,-1,A
89123,1,3.5,-1,0,-1,1,-1,0,-1,A
89117,26,2.5,-1,1,2,0,1,-1,-1,A
89115,64,4.0,0,1,0,1,-1,-1,-1,A
89115,64,2.0,1,1,1,1,0,-1,-1,A
89115,64,3.0,0,1,4,1,0,0,-1,A
89117,11,4.0,-1,0,1,1,1,-1,-1,A
89148,37,4.0,-1,1,2,1,1,0,1,A
89121,13,4.0,1,1,3,1,0,-1,0,B
89118,89,4.0,-1,1,2,1,1,0,-1,B
89113,28,3.5,0,1,2,1,0,0,0,A
89117,14,4.5,-1,1,0,1,1,-1,-1,A
89121,47,3.0,-1,0,-1,-1,-1,-1,-1,A
89102,157,4.0,1,1,2,1,1,0,1,B
89103,10,3.5,-1,1,-1,1,-1,-1,-1,A
89119,61,3.0,0,1,4,1,0,0,-1,B
89119,11,4.0,-1,1,0,0,0,-1,-1,A
89121,21,1.5,1,0,-1,1,0,-1,-1,C
89121,21,2.0,1,1,1,3,0,-1,0,C
89121,21,2.5,1,1,1,1,0,-1,-1,C
89121,21,2.0,0,1,0,3,0,-1,0,C
89121,21,2.0,1,1,0,3,0,-1,-1,C
89146,123,4.0,-1,1,2,1,1,0,1,A
89103,16,4.0,-1,1,0,1,1,-1,-1,A
89121,35,3.0,-1,0,0,3,0,-1,-1,A
89148,36,3.0,-1,1,2,0,1,-1,-1,A
89130,70,4.0,0,1,3,0,1,-1,-1,A
89115,47,3.5,0,1,2,1,0,-1,-1,A
89108,85,4.0,-1,1,0,1,1,-1,-1,B
89109,40,2.5,-1,1,0,0,0,-1,-1,A
89109,40,4.0,0,1,1,1,-1,-1,-1,A
89128,16,3.0,0,0,1,1,1,-1,-1,A
89106,42,4.5,-1,1,3,1,0,0,0,B
89118,42,4.0,-1,1,2,1,1,0,1,A
89131,7,3.0,-1,1,1,1,-1,-1,-1,A
89128,31,4.0,-1,1,-1,0,-1,-1,-1,A
89119,26,4.0,0,1,2,1,0,-1,-1,A
89118,41,3.0,-1,1,1,1,0,-1,-1,B
89123,33,4.0,-1,1,2,1,0,1,-1,A
89119,46,3.5,-1,1,3,1,0,0,-1,B
89123,16,3.5,0,1,1,1,0,1,0,A
89101,36,3.5,-1,1,1,0,1,-1,-1,B
89143,91,3.5,-1,1,2,1,1,0,1,A
89110,35,4.0,-1,1,5,1,1,-1,1,A
89123,43,4.0,-1,1,1,0,0,0,-1,A
89101,24,4.0,-1,0,-1,1,-1,0,-1,A
89147,41,4.5,-1,1,2,1,1,1,1,B
89119,132,3.5,-1,1,2,3,1,0,-1,B
89119,5,2.5,0,1,1,1,1,-1,-1,A
89119,82,4.0,-1,1,3,1,1,-1,1,B
89103,54,4.0,-1,1,2,1,1,0,1,A
89102,38,4.0,-1,1,2,1,1,0,1,D
89102,38,4.0,-1,1,2,1,1,0,1,D
89119,35,4.0,-1,1,2,1,0,0,0,B
89110,28,3.5,0,0,-1,1,-1,-1,-1,A
89123,17,4.5,-1,1,-1,1,-1,0,-1,A
89103,46,4.0,0,1,4,1,1,0,1,B
89147,5,3.5,-1,1,-1,1,-1,-1,-1,C
89183,18,3.5,-1,1,1,0,0,-1,-1,A
89156,41,3.5,-1,1,3,1,0,0,-1,A
89109,34,2.0,-1,1,1,1,0,0,-1,A
89147,53,4.5,-1,1,2,1,1,0,-1,A
89147,70,4.0,-1,1,2,1,1,0,-1,A
89102,50,4.0,-1,1,1,1,1,0,-1,A
89117,31,4.0,-1,0,3,1,1,0,-1,A
89121,77,4.0,0,1,0,1,1,1,-1,A
89124,77,3.5,0,1,4,1,1,0,1,A
89121,33,3.5,-1,1,1,1,0,0,0,A
89148,80,4.0,-1,1,2,1,1,0,1,B
89183,7,4.0,0,1,1,1,0,-1,-1,A
89102,85,4.5,-1,1,2,1,1,0,1,A
89102,11,4.0,-1,0,-1,2,-1,0,-1,A
89141,1,3.0,-1,1,1,-1,1,-1,-1,A
89118,4,4.0,-1,1,2,1,0,-1,-1,A
89134,117,3.0,-1,1,2,1,1,0,-1,A
89030,91,3.5,0,1,2,1,0,0,0,B
89141,34,3.0,0,1,4,1,0,0,0,A
89147,13,4.5,-1,1,-1,-1,-1,-1,-1,A
89183,93,3.5,-1,1,2,1,0,0,0,A
89121,76,3.5,1,1,-1,1,-1,-1,-1,B
89134,48,3.5,-1,1,2,1,0,1,0,A
89108,17,3.0,-1,1,-1,1,-1,0,-1,A
89108,17,3.0,-1,0,-1,-1,0,-1,-1,A
89103,11,3.0,-1,1,-1,1,-1,-1,-1,A
89118,50,3.0,-1,-1,-1,-1,-1,0,-1,B
89148,63,4.5,0,1,2,0,1,0,1,B
89123,7,4.0,-1,1,-1,1,-1,-1,-1,A
89123,4,3.5,0,1,2,1,0,-1,-1,A
89117,7,3.5,-1,1,2,0,1,-1,-1,A
89102,79,2.0,1,1,2,1,0,0,0,A
89102,51,4.0,-1,0,2,1,0,0,-1,A
89115,129,4.0,-1,1,2,0,0,0,-1,B
89146,54,4.5,-1,1,-1,1,-1,-1,-1,A
89106,37,2.0,-1,1,0,1,0,-1,-1,B
89108,9,3.5,-1,1,-1,1,-1,0,-1,A
89103,35,3.0,-1,1,3,1,1,0,1,B
89103,3,4.0,-1,1,1,1,0,-1,-1,A
89147,36,3.5,0,1,3,1,0,0,0,A
89147,36,2.5,0,1,5,1,0,0,-1,A
89149,96,3.5,-1,1,6,1,1,0,-1,B
89123,48,3.5,-1,1,2,1,1,0,-1,A
89108,19,4.5,-1,1,-1,-1,0,0,-1,A
89108,33,3.5,-1,1,2,1,0,0,0,A
89147,21,4.0,-1,1,2,1,0,1,0,C
89123,38,3.5,-1,1,2,1,0,0,-1,A
89129,54,2.0,1,1,1,1,0,-1,-1,A
89108,77,3.5,-1,1,2,1,0,0,-1,A
89147,28,4.0,-1,1,2,1,1,1,-1,A
89117,59,3.5,-1,-1,-1,1,-1,0,-1,A
89103,53,2.5,-1,1,-1,0,-1,-1,-1,B
89101,13,3.5,-1,1,-1,1,-1,-1,-1,A
89101,13,4.0,-1,1,-1,1,-1,-1,-1,A
89119,26,3.5,-1,1,-1,1,-1,-1,-1,A
89146,54,3.5,1,1,2,1,0,0,0,B
89107,60,3.0,-1,-1,0,2,0,-1,-1,A
89102,28,4.0,-1,1,2,1,1,-1,-1,B
89110,27,4.0,-1,1,-1,1,-1,-1,-1,A
89110,98,4.0,-1,1,2,0,1,1,-1,A
89117,6,3.5,-1,1,1,1,0,-1,-1,A
89115,31,2.5,-1,1,0,1,1,-1,-1,A
89108,48,4.0,-1,1,1,1,1,-1,-1,A
89103,44,3.5,-1,1,1,1,1,-1,-1,B
89103,98,4.0,-1,1,1,1,1,-1,-1,B
89103,57,2.5,0,1,3,1,0,0,0,A
89101,50,4.5,-1,1,-1,1,-1,-1,-1,A
89119,35,3.5,1,1,-1,3,0,-1,-1,A
89146,76,3.5,-1,1,2,1,0,0,-1,A
89145,37,4.0,-1,1,2,1,1,0,1,A
89146,20,4.0,-1,0,2,1,1,0,1,A
89123,25,4.0,-1,0,2,1,1,1,1,C
89119,8,3.5,-1,-1,-1,-1,-1,-1,-1,A
89119,78,4.5,-1,1,2,0,0,1,0,A
89169,30,2.5,-1,1,2,1,1,0,1,A
89146,33,3.5,-1,1,1,0,1,-1,-1,B
89117,45,4.0,-1,1,2,1,0,1,0,A
89102,8,4.0,-1,1,0,1,1,-1,-1,A
89110,42,3.5,-1,1,1,1,0,0,-1,A
89123,26,4.0,-1,1,2,1,0,-1,-1,B
89146,88,3.5,-1,1,2,1,1,0,-1,A
89148,23,3.5,-1,1,-1,1,-1,-1,-1,B
89178,18,4.5,-1,1,-1,1,-1,0,-1,A
89102,121,3.0,-1,1,1,0,1,0,1,B
89104,62,4.0,-1,1,3,0,1,-1,-1,A
89104,29,4.0,-1,1,-1,0,-1,0,-1,A
89101,38,4.0,-1,1,3,1,1,1,1,A
89118,1,3.5,-1,1,-1,1,-1,-1,-1,A
89139,5,4.0,-1,1,2,1,1,0,1,A
89147,40,4.0,-1,1,2,1,1,0,-1,A
89128,53,4.0,-1,1,3,1,1,0,-1,A
89123,55,4.0,0,1,3,1,0,0,-1,A
89117,78,2.5,1,1,4,1,0,0,-1,A
89102,33,3.0,0,1,1,1,0,0,-1,B
89102,96,3.5,-1,1,1,1,1,-1,-1,B
89147,57,3.5,-1,1,2,0,0,-1,-1,B
89183,17,4.0,-1,1,2,1,0,-1,-1,A
89139,56,3.5,-1,1,1,1,0,0,0,A
89123,1,3.0,-1,1,-1,1,-1,-1,-1,A
89169,33,3.5,-1,-1,-1,1,-1,0,-1,A
89102,149,4.5,-1,1,2,1,1,0,1,B
89122,28,4.0,-1,0,-1,1,-1,-1,-1,B
89102,7,4.0,-1,1,0,1,0,-1,-1,A
89102,21,3.0,-1,1,-1,0,-1,-1,-1,A
89130,30,4.0,-1,1,1,1,1,-1,-1,B
