RestaurantName,LocationName,CategoryName,Address,City,State,Zip,CurrentGrade
GIANT FOOD CENTER II SNACK BAR,GIANT FOOD CENTER II,Snack Bar,1000 N RANCHO,Las Vegas,Nevada,89106,A
GOLDEN NUGGET EDR,Golden Nugget Las Vegas,Special Kitchen,129 E Fremont St,Las Vegas,Nevada,89101-5603,A
GREATEST OF ALL TIME (GOAT) BAR,GREATEST OF ALL TIME (GOAT),Bar / Tavern,3805 SAHARA Ave,Las Vegas,Nevada,89102,A
GREEN VALLEY RANCH MAIN KITCHEN CHINESE,GREEN VALLEY RANCH,Banquet Kitchen,2300 Paseo Verde Pkwy,Henderson,Nevada,89052-2672,A
Great Bun's Retail Sales,Great Buns,Bakery Sales,3270 E Tropicana Ave,Las Vegas,Nevada,89121-7316,A
"HABIT BURGER GRILL, THE","HABIT BURGER GRILL, THE",Restaurant,4830 BLUE DIAMOND &130,Las Vegas,Nevada,89139,A
HARRAHS HI LIMIT BAR,HARRAHS LV HOTEL & CASINO,Bar / Tavern,3475 S Las Vegas Blvd,Las Vegas,Nevada,89109-8922,A
HOOTERS UNDERGROUND BAR,HOOTERS CASINO HOTEL,Bar / Tavern,115 E TROPICANA,Las Vegas,Nevada,89109,A
IGT Las Vegas - Pizza - Deleted 2/27/17 CC,IGT Las Vegas Manufacturing Facili,Banquet Support,6355 S Buffalo Dr,Las Vegas,Nevada,89113-2133,A
JOJO'S JERKY,JOJO'S JERKY,Snack Bar,875 S GRAND CENTRAL Pkwy,Las Vegas,Nevada,89106,A
