name,address,city,state,zip_code,current_score,current_grade,rating,review_count,restaurants_price_range2,restaurants_reservations,restaurants_delivery,restaurants_takeout,business_accepts_creditcards,accepts_apple_pay,good_for,bike_parking,good_for_kids,restaurants_good_for_groups,restaurants_attire,ambience,noise_level,alcohol,outdoor_seating,wifi,has_tv,caters,good_for_working,gender_neutral_restrooms,location_name,category_name,violations,current_demerits,inspection_demerits,inspection_score,inspection_grade,business_id,neighborhood,accepts_insurance,ages_allowed,byob,byob_corkage,best_nights,business_accepts_bitcoin,business_parking,byappointmentonly,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_meal,hair_specializes_in,happy_hour,music,open_24_hours,restaurants_counter_service,restaurants_table_service,smoking,wheelchair_accessible,accepts_google_pay,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
23RD ST. CAFE,936 W 23RD ST,LOS ANGELES,CA,90007,99,A,4.0,306.0,$,Yes,Yes,Yes,Yes,No,"Breakfast, Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
25 DEGREES,7000 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,93,A,3.5,1677.0,$$,No,No,Yes,Yes,Yes,"Dinner, Late Night",No,No,Yes,Casual,Trendy,Average,Full Bar,No,Paid,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2ND FLOOR LA,865 S VERMONT AVE,LOS ANGELES,CA,90005,90,A,4.5,134.0,$$,Yes,No,Yes,Yes,No,"Dinner, Late Night",No,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3 WORLDS CAFE,3310 S CENTRAL AVE,LOS ANGELES,CA,90011,90,A,4.5,32.0,$,Null,Null,Null,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Yes,Free,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3000 YEARS HEALTH CENTER,823 N BROADWAY,LOS ANGELES,CA,90012,96,A,4.5,22.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
326 BEER AND WINE,6333 W 3RD ST # #326,LOS ANGELES,CA,90036,94,A,3.5,52.0,$,No,Null,Null,Yes,No,Null,Yes,Null,Yes,Null,Casual,Average,Beer & Wine Only,Yes,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4 PLAY,2238 COTNER AVE,LOS ANGELES,CA,90064,94,A,3.5,99.0,$$,Yes,Null,Null,Yes,Yes,Null,Yes,Null,Yes,Null,Upscale,Average,No,No,Free,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4100 BAR,1087 MANZANITA ST,LOS ANGELES,CA,90029,96,A,4.0,493.0,$$,No,Null,Null,Yes,Null,Null,Yes,Null,Yes,Null,Hipster,Average,Full Bar,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
435 NORTH FAIRFAX,435 N FAIRFAX AVE,LOS ANGELES,CA,90036,94,A,4.0,3045.0,$$$,Yes,No,No,Yes,No,Dinner,No,No,Yes,Casual,Trendy,Loud,Beer & Wine Only,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4TH STREET DELI,320 W 4TH ST,LOS ANGELES,CA,90013,95,A,3.5,5.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Beer & Wine Only,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5 LINE RESTAURANT,2136 W COLORADO BLVD # A,LOS ANGELES,CA,90041,98,A,4.0,311.0,$$,No,No,Yes,Yes,No,"Lunch, Dinner",Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
55 BUNGEE RAMEN,1147 S WESTERN AVE,LOS ANGELES,CA,90006,90,A,4.0,33.0,$,Yes,No,Yes,Yes,No,Brunch,Yes,Yes,Yes,Casual,Divey,Quiet,No,No,Free,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
55 DEGREE WINE,3111 GLENDALE BLVD STE 2,LOS ANGELES,CA,90039,99,A,5.0,30.0,$$,Null,Null,No,Yes,Yes,Null,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
59TH LEX KITCHEN,10250 SANTA MONICA BLVD,LOS ANGELES,CA,90067,92,A,3.5,46.0,$$,No,No,Yes,Yes,Null,Null,No,No,Yes,Casual,Casual,Average,No,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5TH STREET MARKET,116 E 5TH ST,LOS ANGELES,CA,90013,92,A,5.0,1.0,$,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
6TH AVE LIQUOR STORE,3526 W WASHINGTON BLVD,LOS ANGELES,CA,90018,91,A,2.5,3.0,$$,Null,Null,Null,Yes,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
6TH STREET MARKET,212 W 6TH ST,LOS ANGELES,CA,90014,97,A,3.5,12.0,$,No,No,No,Yes,Null,Null,No,No,Yes,Casual,Null,Average,Null,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7 STAR COFFEE,421 W 7TH ST,LOS ANGELES,CA,90014,97,A,5.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7 STAR COFFEE #2,701 S BROADWAY UNIT UNIT,LOS ANGELES,CA,90014,98,A,5.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
71 ABOVE,633 W 5TH ST # 7100,LOS ANGELES,CA,90071,96,A,4.0,744.0,$$$$,Yes,No,No,Yes,No,Dinner,No,No,Yes,Dressy,"Romantic, Classy, Upscale",Average,Full Bar,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
77 KENTUCKY,698 S VERMONT AVE # 101,LOS ANGELES,CA,90005,90,A,3.5,185.0,$$,No,Yes,Yes,Yes,No,"Lunch, Dinner, Late Night",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
777 MARKET,1900 S LA BREA AVE # 1,LOS ANGELES,CA,90016,90,A,1.0,1.0,$$$,Null,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7-ELEVEN,1451 S LA CIENEGA BLVD,LOS ANGELES,CA,90035,90,A,4.0,14.0,$,Null,Null,Yes,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
8 ESPRESSOS,11901 SANTA MONICA BLVD STE #112,LOS ANGELES,CA,90025,99,A,4.0,271.0,$,Null,Null,Yes,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Yes,Free,Null,No,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
800  DEGREES NEAPOLITAN PIZZERIA,1539 N VINE ST,LOS ANGELES,CA,90028,96,A,4.0,191.0,$$,No,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
800 DEGREES NEAPOLITAN PIZZE,10889 LINDBROOK DR,LOS ANGELES,CA,90024,90,A,3.5,2101.0,$$,No,No,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
82 MARKET,5204 MELROSE AVE,LOS ANGELES,CA,90038,91,A,4.0,1.0,$,Null,Null,Null,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
85 CELSIUS BAKERY CAFE,700 WILSHIRE BLVD,LOS ANGELES,CA,90010,93,A,4.0,157.0,$,Null,Yes,Yes,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Yes,Free,Null,Yes,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
90 WEST LOUNGE,12740 CULVER BLVD STE #H,LOS ANGELES,CA,90066,96,A,4.0,85.0,$,Yes,Null,Null,Yes,No,Null,Yes,Null,Yes,Null,Divey,Average,Full Bar,Yes,Free,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
901 CLUB,2902 S FIGUEROA ST,LOS ANGELES,CA,90007,90,A,3.5,205.0,$$,No,No,Yes,Yes,No,Late Night,Yes,No,Yes,Casual,"Divey, Casual",Very Loud,Full Bar,No,No,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
9021 PHO,7950 W SUNSET BLVD,LOS ANGELES,CA,90046,93,A,4.0,292.0,$$,Yes,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
98 CENT SOTO DISCOUNT,2315 E 4TH ST,LOS ANGELES,CA,90033,96,A,2.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
99 CENT OUTLET,3608 W SLAUSON AVE,LOS ANGELES,CA,90043,94,A,4.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
99 CENTS AND UP,3119 W 8TH ST,LOS ANGELES,CA,90005,93,A,3.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
99 CENTS OUTLET,425 E IMPERIAL HWY UNIT D,LOS ANGELES,CA,90061,97,A,3.0,2.0,$,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
A & G FOOD MART,901 S LA BREA AVE STE #5,LOS ANGELES,CA,90036,94,A,5.0,1.0,$,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
A & S MARKET,10867 VENICE BLVD,LOS ANGELES,CA,90034,93,A,4.0,22.0,$$,Null,Null,Yes,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
A &T BURGERS,9401 S AVALON BLVD,LOS ANGELES,CA,90003,92,A,4.0,54.0,$,No,No,Yes,Yes,No,"Breakfast, Lunch, Dinner, Late Night",No,Yes,Yes,Casual,Casual,Average,No,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
A GROCERY WAREHOUSE,1489 W SUNSET BLVD,LOS ANGELES,CA,90026,93,A,4.0,111.0,$,Null,Null,No,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
A LIQUOR,687 S HOOVER ST,LOS ANGELES,CA,90005,98,A,3.0,2.0,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
A MAGIC FOREST,12512 W WASHINGTON BLVD,LOS ANGELES,CA,90066,98,A,4.0,89.0,Null,Null,Null,Null,Yes,No,Null,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
A&A LIQUOR,6200 W MANCHESTER AVE,LOS ANGELES,CA,90045,97,A,5.0,1.0,Null,Null,Null,Yes,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
A&S LIQUOR MARKET,3088 W PICO BLVD,LOS ANGELES,CA,90006,94,A,4.0,4.0,$$,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
A&Z NUT WAGON,816 S LORENA ST,LOS ANGELES,CA,90023,96,A,4.5,39.0,$,Null,Null,Yes,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
A-1 BURGERS,2915 W VERNON AVE,LOS ANGELES,CA,90008,96,A,4.0,68.0,$,No,No,Yes,No,No,Lunch,No,Yes,No,Casual,Divey,Average,No,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
