ACTIVITY DATE,RECORD ID,NAME,ADDRESS,SITE ADDRESS,SITE CITY,SITE STATE,SITE ZIP,PROGRAM ELEMENT CODE,PROGRAM ELEMENT CODE DESCRIPTION,SERVICE DESCRIPTION,ROW ID,VIOLATION CODE,VIOLATION CODE DESCRIPTION,POINTS,SCORE,GRADE,COUNT,RATING,REVIEW,PRICE,PHONE,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Apple Pay,Good For,Parking,Bike Parking,Good for Kids,Good for Groups,Attire,Ambience,Noise Level,Alcohol,Outdoor Seating,Wi-Fi,Has TV,Caters,Good for Working,Gender Neutral Restrooms
12/1/2015,PR0018143,23RD ST. CAFE,"936 W 23RD ST  LOS ANGELES, CA 90007",936 W 23RD ST,LOS ANGELES,CA,90007,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVPB3J06A,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,99,A,1,4,306,$,12137491593,Yes,Yes,Yes,Yes,No,"Breakfast, Lunch, Dinner","Street, Private Lot",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,No,,
12/22/2014,PR0021432,25 DEGREES,"7000 HOLLYWOOD BLVD  LOS ANGELES, CA 90028",7000 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVLZWSJD0,16F039,# 39. Wiping cloths: properly used and stored,1,93,A,1,3.5,1677,$$,13237857244,No,No,Yes,Yes,Yes,"Dinner, Late Night","Valet, Garage, Street",No,No,Yes,Casual,Trendy,Average,Full Bar,No,Paid,Yes,No,,
8/9/2016,PR0147573,2ND FLOOR LA,"865 S VERMONT AVE LOS ANGELES, CA 90005",865 S VERMONT AVE,LOS ANGELES,CA,90005,1641,RESTAURANT (151 + ) SEATS HIGH RISK,ROUTINE INSPECTION,IV5JCEQMB,16F029,"# 29. Toxic substances properly identified, stored, used",1,90,A,1,4.5,134,$$,12133883880,Yes,No,Yes,Yes,No,"Dinner, Late Night",Valet,No,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,Yes,,
1/20/2015,PR0038161,3 WORLDS CAFE,"3310 S CENTRAL AVE  LOS ANGELES, CA 90011",3310 S CENTRAL AVE,LOS ANGELES,CA,90011,1630,RESTAURANT (0-30) SEATS LOW RISK,ROUTINE INSPECTION,IV1YE2KWN,16F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",1,90,A,1,4.5,32,$,13232355494,,,,Yes,,,Street,Yes,,,,,,,Yes,Free,,,Yes,
3/21/2016,PR0024951,3000 YEARS HEALTH CENTER,"823 N BROADWAY  LOS ANGELES, CA 90012",823 N BROADWAY,LOS ANGELES,CA,90012,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IV4PFOLHE,16F037,"# 37. Adequate ventilation and lighting; designated areas, use",1,96,A,1,4.5,22,,12136801456,,,,,,,,,,,,,,,,,,,,
4/1/2015,PR0035024,326 BEER AND WINE,"6333 W 3RD ST # #326 LOS ANGELES, CA 90036",6333 W 3RD ST # #326,LOS ANGELES,CA,90036,1630,RESTAURANT (0-30) SEATS LOW RISK,ROUTINE INSPECTION,IVXF1QJBO,16F052,# 1b. Food safety certification,2,94,A,1,3.5,52,$,13232724928,No,,,Yes,No,,Private Lot,Yes,,Yes,,Casual,Average,Beer & Wine Only,Yes,No,Yes,,,
3/19/2015,PR0018465,4 PLAY,"2238 COTNER AVE  LOS ANGELES, CA 90064",2238 COTNER AVE,LOS ANGELES,CA,90064,1634,RESTAURANT (31-60) SEATS MODERATE RISK,ROUTINE INSPECTION,IVQBLJEC3,16F027,# 27. Food separated and protected,1,94,A,1,3.5,99,$$,13105750660,Yes,,,Yes,Yes,,Valet,Yes,,Yes,,Upscale,Average,No,No,Free,Yes,,,Yes
7/28/2015,PR0005421,4100 BAR,"1087 MANZANITA ST  LOS ANGELES, CA 90029",1087 MANZANITA ST,LOS ANGELES,CA,90029,1630,RESTAURANT (0-30) SEATS LOW RISK,ROUTINE INSPECTION,IVSTC7KGQ,16F023,"# 23. No rodents, insects, birds, or animals",2,96,A,1,4,493,$$,13236664460,No,,,Yes,,,Private Lot,Yes,,Yes,,Hipster,Average,Full Bar,No,No,No,,,
11/7/2014,PR0004410,435 NORTH FAIRFAX,"435 N FAIRFAX AVE  LOS ANGELES, CA 90036",435 N FAIRFAX AVE,LOS ANGELES,CA,90036,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IV0XR3XA0,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,94,A,1,4,3045,$$$,13237829225,Yes,No,No,Yes,No,Dinner,Street,No,No,Yes,Casual,Trendy,Loud,Beer & Wine Only,No,No,No,No,,
4/17/2015,PR0028540,4TH STREET DELI,"320 W 4TH ST  LOS ANGELES, CA 90013",320 W 4TH ST,LOS ANGELES,CA,90013,1637,RESTAURANT (61-150) SEATS MODERATE RISK,ROUTINE INSPECTION,IVC2YEKCV,16F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",1,95,A,1,3.5,5,,12133469906,,,,,,,,,,,,,,Beer & Wine Only,Yes,,,Yes,,
11/10/2014,PR0148273,5 LINE RESTAURANT,"2136 W COLORADO BLVD # A LOS ANGELES, CA 90041",2136 W COLORADO BLVD # A,LOS ANGELES,CA,90041,1634,RESTAURANT (31-60) SEATS MODERATE RISK,ROUTINE INSPECTION,IVKPKVK9K,16F039,# 39. Wiping cloths: properly used and stored,1,98,A,1,4,311,$$,13232383838,No,No,Yes,Yes,No,"Lunch, Dinner","Garage, Street",Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,No,,
3/2/2016,PR0175751,55 BUNGEE RAMEN,"1147 S WESTERN AVE LOS ANGELES, CA 90006",1147 S WESTERN AVE,LOS ANGELES,CA,90006,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVW0IKY87,16F039,# 39. Wiping cloths: properly used and stored,1,90,A,1,4,33,$,13236417063,Yes,No,Yes,Yes,No,Brunch,"Valet, Street, Private Lot",Yes,Yes,Yes,Casual,Divey,Quiet,No,No,Free,Yes,No,,
10/22/2014,PR0046232,55 DEGREE WINE,"3111 GLENDALE BLVD STE 2 LOS ANGELES, CA 90039",3111 GLENDALE BLVD STE 2,LOS ANGELES,CA,90039,1631,RESTAURANT (0-30) SEATS MODERATE RISK,ROUTINE INSPECTION,IVLG0JVHV,16F037,"# 37. Adequate ventilation and lighting; designated areas, use",1,99,A,1,5,30,$$,13236625556,,,No,Yes,Yes,,"Street, Private Lot",Yes,No,,,,,,,,,No,,Yes
6/1/2015,PR0045382,59TH LEX KITCHEN,"10250 SANTA MONICA BLVD  LOS ANGELES, CA 90067",10250 SANTA MONICA BLVD,LOS ANGELES,CA,90067,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IV2CLNTGC,16F014,# 14. Food contact surfaces: clean and sanitized,4,92,A,1,3.5,46,$$,13107727189,No,No,Yes,Yes,,,Garage,No,No,Yes,Casual,Casual,Average,No,No,No,No,No,,
2/18/2015,PR0148473,5TH STREET MARKET,"116 E 5TH ST LOS ANGELES, CA 90013",116 E 5TH ST,LOS ANGELES,CA,90013,1631,RESTAURANT (0-30) SEATS MODERATE RISK,ROUTINE INSPECTION,IVJ8FGMWJ,16F029,"# 29. Toxic substances properly identified, stored, used",1,92,A,1,5,1,$,12136281825,,,,Yes,,,,,,,,,,,,,,,,
2/23/2015,PR0017065,6TH AVE LIQUOR STORE,"3526 W WASHINGTON BLVD  LOS ANGELES, CA 90018",3526 W WASHINGTON BLVD,LOS ANGELES,CA,90018,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVK0J1XAG,16F046,# 46. Signs posted; last inspection report available,1,91,A,1,2.5,3,$$,,,,,Yes,,,,No,,,,,,,,,,,,
4/6/2015,PR0004737,6TH STREET MARKET,"212 W 6TH ST LOS ANGELES, CA 90014",212 W 6TH ST,LOS ANGELES,CA,90014,1611,"FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",ROUTINE INSPECTION,IVNFIOMCC,16F006,# 6. Adequate handwashing facilities supplied & accessible,2,97,A,1,3.5,12,$,12136232004,No,No,No,Yes,,,,No,No,Yes,Casual,,Average,,No,No,No,,,
11/19/2014,PR0029293,7 STAR COFFEE,"421 W 7TH ST LOS ANGELES, CA 90014",421 W 7TH ST,LOS ANGELES,CA,90014,1630,RESTAURANT (0-30) SEATS LOW RISK,ROUTINE INSPECTION,IVCYIJ5UT,16F043,# 43. Premises; personal/cleaning items; vermin-proofing,1,97,A,1,5,1,,12136887362,,,,,,,,,,,,,,,,,,,,
1/30/2015,PR0030517,7 STAR COFFEE #2,"701 S BROADWAY UNIT UNIT LOS ANGELES, CA 90014",701 S BROADWAY UNIT UNIT,LOS ANGELES,CA,90014,1630,RESTAURANT (0-30) SEATS LOW RISK,ROUTINE INSPECTION,IVHLAKRJD,16F033,# 33. Nonfood-contact surfaces clean and in good repair,1,98,A,1,5,1,,12136887362,,,,,,,,,,,,,,,,,,,,
9/6/2016,PR0180805,71 ABOVE,"633 W 5TH ST # 7100 LOS ANGELES, CA 90071",633 W 5TH ST # 7100,LOS ANGELES,CA,90071,1641,RESTAURANT (151 + ) SEATS HIGH RISK,ROUTINE INSPECTION,IVTVZFPS2,16F039,# 39. Wiping cloths: properly used and stored,1,96,A,1,4,744,$$$$,12137122683,Yes,No,No,Yes,No,Dinner,"Valet, Garage",No,No,Yes,Dressy,"Romantic, Classy, Upscale",Average,Full Bar,No,No,No,No,,
6/10/2016,PR0179300,77 KENTUCKY,"698 S VERMONT AVE # 101 LOS ANGELES, CA 90005",698 S VERMONT AVE # 101,LOS ANGELES,CA,90005,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IV0526116,16F033,# 33. Nonfood-contact surfaces clean and in good repair,1,90,A,1,3.5,185,$$,12135996202,No,Yes,Yes,Yes,No,"Lunch, Dinner, Late Night","Valet, Street, Private Lot",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,Yes,,
4/28/2016,PR0028735,777 MARKET,"1900 S LA BREA AVE # 1 LOS ANGELES, CA 90016",1900 S LA BREA AVE # 1,LOS ANGELES,CA,90016,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IV0U79Q0Y,16F006,# 6. Adequate handwashing facilities supplied & accessible,2,90,A,1,1,1,$$$,13239381233,,,,,No,,,,,,,,,,,,,,,
3/23/2015,PR0003158,7-ELEVEN,"1451 S LA CIENEGA BLVD  LOS ANGELES, CA 90035",1451 S LA CIENEGA BLVD,LOS ANGELES,CA,90035,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",ROUTINE INSPECTION,IVF0EDF49,16F043,# 43. Premises; personal/cleaning items; vermin-proofing,1,90,A,1,4,14,$,13106596590,,,Yes,Yes,,,Private Lot,Yes,,,,,,,,,,,,
2/10/2015,PR0027757,8 ESPRESSOS,"11901 SANTA MONICA BLVD STE #112 LOS ANGELES, CA 90025",11901 SANTA MONICA BLVD STE #112,LOS ANGELES,CA,90025,1630,RESTAURANT (0-30) SEATS LOW RISK,ROUTINE INSPECTION,IV4MJZIUL,16F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",1,99,A,1,4,271,$,,,,Yes,Yes,No,,"Garage, Private Lot",Yes,,,,,,,Yes,Free,,No,Yes,Yes
4/19/2016,PR0177468,800  DEGREES NEAPOLITAN PIZZERIA,"1539 N VINE ST LOS ANGELES, CA 90028",1539 N VINE ST,LOS ANGELES,CA,90028,1638,RESTAURANT (61-150) SEATS HIGH RISK,ROUTINE INSPECTION,IVU0O1FEU,16F004,"# 4. Proper eating, drinking, or tobacco use",2,96,A,1,4,191,$$,13233299656,No,Yes,Yes,Yes,No,"Lunch, Dinner","Street, Validated",Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,Yes,,
10/1/2014,PR0023732,800 DEGREES NEAPOLITAN PIZZE,"10889 LINDBROOK DR  LOS ANGELES, CA 90024",10889 LINDBROOK DR,LOS ANGELES,CA,90024,1638,RESTAURANT (61-150) SEATS HIGH RISK,ROUTINE INSPECTION,IVNDK7NQ7,16F036,"# 36. Equipment, utensils and linens: storage and use",1,90,A,1,3.5,2101,$$,13104431911,No,No,Yes,Yes,No,"Lunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,,
9/1/2015,PR0037049,82 MARKET,"5204 MELROSE AVE  LOS ANGELES, CA 90038",5204 MELROSE AVE,LOS ANGELES,CA,90038,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVIZ94VUU,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,91,A,1,4,1,$,13234666730,,,,Yes,,,Street,Yes,,,,,,,,,,,,
6/14/2016,PR0179297,85 CELSIUS BAKERY CAFE,"700 WILSHIRE BLVD LOS ANGELES, CA 90010",700 WILSHIRE BLVD,LOS ANGELES,CA,90010,1634,RESTAURANT (31-60) SEATS MODERATE RISK,ROUTINE INSPECTION,IVOSBZKPQ,16F014,# 14. Food contact surfaces: clean and sanitized,2,93,A,1,4,157,$,12133680404,,Yes,Yes,Yes,No,,Garage,Yes,,,,,,,Yes,Free,,Yes,Yes,Yes
2/6/2015,PR0034638,90 WEST LOUNGE,"12740 CULVER BLVD STE #H LOS ANGELES, CA 90066",12740 CULVER BLVD STE #H,LOS ANGELES,CA,90066,1630,RESTAURANT (0-30) SEATS LOW RISK,ROUTINE INSPECTION,IVIRHFIYF,16F021,# 21. Hot and cold water available,2,96,A,1,4,85,$,14242894043,Yes,,,Yes,No,,"Street, Private Lot",Yes,,Yes,,Divey,Average,Full Bar,Yes,Free,Yes,,,
11/13/2014,PR0042643,901 CLUB,"2902 S FIGUEROA ST  LOS ANGELES, CA 90007",2902 S FIGUEROA ST,LOS ANGELES,CA,90007,1634,RESTAURANT (31-60) SEATS MODERATE RISK,ROUTINE INSPECTION,IVOHALIOA,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,90,A,1,3.5,205,$$,12137457900,No,No,Yes,Yes,No,Late Night,Street,Yes,No,Yes,Casual,"Divey, Casual",Very Loud,Full Bar,No,No,Yes,No,,
1/12/2015,PR0146977,9021 PHO,"7950 W SUNSET BLVD LOS ANGELES, CA 90046",7950 W SUNSET BLVD,LOS ANGELES,CA,90046,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVY08KQE0,16F043,# 43. Premises; personal/cleaning items; vermin-proofing,1,93,A,1,4,292,$$,13236569021,Yes,Yes,Yes,Yes,No,"Lunch, Dinner","Garage, Validated",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,Yes,,
2/2/2016,PR0034754,98 CENT SOTO DISCOUNT,"2315 E 4TH ST  LOS ANGELES, CA 90033",2315 E 4TH ST,LOS ANGELES,CA,90033,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVZRSN0EZ,16F043,# 43. Premises; personal/cleaning items; vermin-proofing,1,96,A,1,2,1,,13232647900,,,,,,,,,,,,,,,,,,,,
4/2/2015,PR0005731,99 CENT OUTLET,"3608 W SLAUSON AVE  LOS ANGELES, CA 90043",3608 W SLAUSON AVE,LOS ANGELES,CA,90043,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVMNPANMS,16F006,# 6. Adequate handwashing facilities supplied & accessible,2,94,A,1,4,1,,,,,,,,,,,,,,,,,,,,,,
10/3/2014,PR0000963,99 CENTS AND UP,"3119 W 8TH ST  LOS ANGELES, CA 90005",3119 W 8TH ST,LOS ANGELES,CA,90005,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVXJI8XVA,16F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",1,93,A,1,3,1,,12133825179,,,,,,,,,,,,,,,,,,,,
6/12/2015,PR0040327,99 CENTS OUTLET,"425 E IMPERIAL HWY UNIT D LOS ANGELES, CA 90061",425 E IMPERIAL HWY UNIT D,LOS ANGELES,CA,90061,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVCOSET5X,16F006,# 6. Adequate handwashing facilities supplied & accessible,2,97,A,1,3,2,$,13237571878,,,,Yes,,,,,,,,,,,,,,,,
4/9/2015,PR0011625,A & G FOOD MART,"901 S LA BREA AVE STE #5 LOS ANGELES, CA 90036",901 S LA BREA AVE STE #5,LOS ANGELES,CA,90036,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVL4PZHHL,16F021,# 21. Hot and cold water available,2,94,A,1,5,1,$,13239374009,,,,No,,,,,,,,,,,,,,,,
1/21/2015,PR0021238,A & S MARKET,"10867 VENICE BLVD  LOS ANGELES, CA 90034",10867 VENICE BLVD,LOS ANGELES,CA,90034,1612,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",ROUTINE INSPECTION,IVN8YGUJR,16F039,# 39. Wiping cloths: properly used and stored,1,93,A,1,4,22,$$,13108383771,,,Yes,Yes,,,Street,Yes,,,,,,,,,,Yes,,
10/20/2014,PR0032583,A &T BURGERS,"9401 S AVALON BLVD  LOS ANGELES, CA 90003",9401 S AVALON BLVD,LOS ANGELES,CA,90003,1631,RESTAURANT (0-30) SEATS MODERATE RISK,ROUTINE INSPECTION,IV90CWMXQ,16F007,# 7. Proper hot and cold holding temperatures,2,92,A,1,4,54,$,13237540709,No,No,Yes,Yes,No,"Breakfast, Lunch, Dinner, Late Night",Private Lot,No,Yes,Yes,Casual,Casual,Average,No,No,No,No,No,,
10/9/2014,PR0005934,A GROCERY WAREHOUSE,"1489 W SUNSET BLVD  LOS ANGELES, CA 90026",1489 W SUNSET BLVD,LOS ANGELES,CA,90026,1614,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",ROUTINE INSPECTION,IV4JUMH5G,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,93,A,1,4,111,$,12134824803,,,No,Yes,No,,Private Lot,Yes,,,,,,,,,,No,,
6/23/2016,PR0180170,A LIQUOR,"687 S HOOVER ST LOS ANGELES, CA 90005",687 S HOOVER ST,LOS ANGELES,CA,90005,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IV6JO9LVD,16F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",1,98,A,1,3,2,,12133828823,,,No,,,,,,,,,,,,,,,,,
2/17/2015,PR0006796,A MAGIC FOREST,"12512 W WASHINGTON BLVD  LOS ANGELES, CA 90066",12512 W WASHINGTON BLVD,LOS ANGELES,CA,90066,1630,RESTAURANT (0-30) SEATS LOW RISK,ROUTINE INSPECTION,IVADPO9BC,16F052,# 1b. Food safety certification,2,98,A,1,4,89,,13103979400,,,,Yes,No,,"Street, Private Lot",Yes,Yes,,,,,,,,,,,Yes
3/19/2015,PR0025260,A&A LIQUOR,"6200 W MANCHESTER AVE  LOS ANGELES, CA 90045",6200 W MANCHESTER AVE,LOS ANGELES,CA,90045,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",ROUTINE INSPECTION,IVAQW8G0G,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,97,A,1,5,1,,13104100333,,,Yes,Yes,No,,"Street, Private Lot",Yes,,,,,,,,,,,,
3/2/2015,PR0009321,A&S LIQUOR MARKET,"3088 W PICO BLVD  LOS ANGELES, CA 90006",3088 W PICO BLVD,LOS ANGELES,CA,90006,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IV3XCXVFA,16F006,# 6. Adequate handwashing facilities supplied & accessible,2,94,A,1,4,4,$$,12133852386,,,,Yes,,,,,,,,,,,,,,No,,
12/30/2015,PR0001539,A&Z NUT WAGON,"816 S LORENA ST  LOS ANGELES, CA 90023",816 S LORENA ST,LOS ANGELES,CA,90023,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IV085ULQN,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,96,A,1,4.5,39,$,13232671695,,,Yes,Yes,No,,Street,Yes,,,,,,,,,,No,,
1/27/2015,PR0045936,A-1 BURGERS,"2915 W VERNON AVE  LOS ANGELES, CA 90008",2915 W VERNON AVE,LOS ANGELES,CA,90008,1631,RESTAURANT (0-30) SEATS MODERATE RISK,ROUTINE INSPECTION,IV5K6YPJ7,16F037,"# 37. Adequate ventilation and lighting; designated areas, use",1,96,A,1,4,68,$,13232901174,No,No,Yes,No,No,Lunch,Street,No,Yes,No,Casual,Divey,Average,No,No,No,No,No,,
12/19/2014,PR0028025,A1 HOA SUPERMARKET,"860 N HILL ST  LOS ANGELES, CA 90012",860 N HILL ST,LOS ANGELES,CA,90012,1615,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",ROUTINE INSPECTION,IVRUN8LYG,16F052,# 1b. Food safety certification,2,92,A,1,3,49,$,12136298121,,,No,Yes,No,,,Yes,,,,,,,,,,No,,
4/28/2016,PR0148115,AA REGIONAL ADMIRAL'S CLUB,"6022 AVION DR LOS ANGELES, CA 90045",6022 AVION DR,LOS ANGELES,CA,90045,1634,RESTAURANT (31-60) SEATS MODERATE RISK,ROUTINE INSPECTION,IVIRKNAJF,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,97,A,1,1.5,1510,,13102422042,,,,,,,,,,,,,,,,,,,,
