business_id,zip_code,violations,current_demerits,inspection_demerits,inspection_grade,current_score,inspection_score,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,gender_neutral_restrooms,good_for,good_for_working,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
9virZ-ORrLHsv0p8EORxeg,89141,3,8,8,A,95.0,95.0,2.5,30,-1,-1,0,0,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,0,-1,-1,-1,0,0,-1,0,0,1,0,-1,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hxvrzLFpNQQFKEMNSO6FlQ,89101,19,0,41,A,95.0,91.25,3.0,39,-1,-1,2,2,-1,-1,3,0,-1,1,2,-1,-1,0,-1,-1,0,-1,1,-1,-1,-1,1,1,1,3,-1,1,-1,-1,-1,1,2,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
yrRzB4EZb15shCOt7axnzA,89119,10,18,19,A,95.0,95.0,3.0,31,-1,-1,0,0,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,-1,-1,1,2,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
T5UBAJt5Kod_wQGbH6m9hA,89101,108,143,305,B,95.0,84.04761905,4.5,157,-1,-1,2,1,-1,-1,-1,0,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,2,-1,-1,1,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1
XdhJ7PjfMjBmZwvKikWlkA,89117,20,57,43,A,95.0,95.0,3.5,47,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,1,-1,-1,-1,0,-1,-1,1,3,-1,-1,1,-1,0,-1,0,0,-1,1,1,1,1,1,1,-1,1,1,0,0,-1,3,-1,-1,-1,-1,-1,1,1
Yu_WYzA4zIlCxAWqpDJchw,89149,20,81,45,A,95.0,95.0,4.0,91,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QAXFkN4iDiC1HUrkOiAAKA,89147,26,18,58,B,95.0,86.66666667,1.5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lG759ODx7tj6wbS7rYip1g,89123,31,27,59,A,95.0,93.88888889,4.0,231,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,1,-1,-1,-1,0,-1,-1,1,3,-1,1,0,-1,0,-1,0,0,-1,1,1,2,1,1,1,-1,1,0,0,0,-1,3,-1,-1,-1,1,1,-1,-1
yGCrsq0AYI8WN7goMVLHJA,89119,59,0,185,B,95.0,86.0,3.5,206,-1,-1,2,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,2,-1,-1,1,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
rMVi-Vn_mN_X9J1ZSl1lWA,89128,81,44,180,A,93.0,90.0,3.0,35,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,0,-1,-1,-1,-1,0,1,2,-1,0,0,-1,0,-1,1,0,-1,0,1,1,0,0,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DQlLXcBYhKriBx0X4ssjvg,89103,24,0,50,A,95.0,94.0,3.0,14,-1,-1,2,0,-1,-1,0,0,0,1,0,-1,1,0,-1,-1,-1,-1,0,1,-1,-1,0,1,1,1,-1,0,-1,-1,1,1,2,0,-1,1,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
LXt2Aycp2ILMWQmKsjl4Wg,89117,12,21,22,A,95.0,95.0,4.0,96,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,1,-1,-1,-1,0,0,-1,1,2,-1,-1,1,-1,1,-1,0,0,-1,0,1,1,0,0,1,-1,1,0,1,1,-1,2,-1,-1,-1,1,-1,-1,-1
4YxFjoS28WzggYyDxGkKBg,89117,12,21,22,A,95.0,95.0,3.5,13,-1,-1,0,0,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,0,-1,1,1,-1,-1,1,-1,1,-1,1,0,-1,0,1,1,0,1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
VNOz_tOw_Hz3FAJeEHb_yg,89117,14,28,43,A,95.0,90.0,3.0,20,-1,-1,1,0,-1,-1,-1,1,0,1,1,-1,0,-1,-1,-1,0,-1,-1,1,2,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,1,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CiYLq33nAyghFkUR15pP-Q,89104,76,111,178,B,95.0,86.42857143,4.0,1492,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,3,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,1,0,0,0,-1,3,-1,-1,-1,-1,-1,-1,-1
DVfCbJhJUDWRlUfrKzaKOA,89102,145,188,276,B,95.0,87.17391304,2.0,532,-1,-1,0,1,0,1,-1,0,-1,0,1,-1,0,-1,0,-1,0,-1,-1,1,2,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1
CTN5Z3fs3jFHfyma8XxzVg,89134,13,24,25,A,95.0,95.0,3.5,21,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EwxhzR-VghhMsRObXLMitw,89107,53,49,135,A,95.0,92.5,4.5,276,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,1,-1,-1,1,3,-1,-1,0,-1,1,-1,0,0,-1,0,1,1,1,1,1,-1,1,1,0,0,-1,3,-1,-1,-1,-1,-1,-1,-1
h-9Kk7uTIud4_wM4RaxwrA,89117,2,3,3,A,95.0,95.0,2.5,19,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,1,0,-1,1,-1,-1,-1,0,-1,1,-1,0,-1,-1,1,1,2,0,-1,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
UVqelOc_xJwy6lfnOhiCLQ,89115,61,3,114,A,95.0,91.875,3.5,20,-1,-1,0,2,-1,-1,-1,0,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,2,-1,0,0,-1,0,1,1,0,0,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
YUE5S4ReiM4dq9qkKbDMwg,89108,27,41,57,A,95.0,95.0,3.5,199,-1,-1,2,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,1,-1,1,-1,1,0,-1,0,1,2,1,1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PQER4ba8Q0zqB1G2QiXamQ,89103,39,120,92,B,95.0,84.58333333,4.0,1031,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,3,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,0,0,-1,3,-1,1,-1,-1,1,-1,-1
dblGQtHAzNy1ACis1m2shw,89147,115,160,243,B,95.0,89.5,3.5,155,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,0,-1,0,-1,0,0,-1,1,1,1,0,0,1,-1,1,0,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0
Ijdoi6pDMK3Burw3TtAOZg,89119,40,72,89,A,95.0,91.25,2.5,35,-1,-1,0,0,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,0,0,-1,1,1,2,0,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eU_XJ4uNAlRoH4tNfWtz9g,89107,12,0,18,A,95.0,95.0,4.0,5,-1,-1,0,-1,-1,-1,3,1,-1,1,0,-1,-1,0,-1,-1,-1,-1,1,1,0,-1,1,1,-1,1,-1,0,0,-1,-1,1,2,0,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ZgWjkMSzIV9fAuJJQXSUvA,89128,33,102,79,A,95.0,94.23076923,4.0,428,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,1,-1,1,-1,1,0,-1,0,1,2,0,0,1,-1,1,0,0,1,-1,3,-1,1,-1,1,1,-1,-1
YavRvjbLsvh4DYDJPAfJIA,89123,121,116,311,B,95.0,88.80952381,3.5,461,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,2,-1,-1,0,-1,1,-1,0,0,-1,0,1,1,1,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,-1,1,-1,1
wdLDTuAxZy2GY5NaQQ6GHQ,89122,49,75,93,A,95.0,93.33333333,2.5,5,-1,-1,2,0,-1,-1,3,1,-1,1,0,-1,1,0,-1,-1,-1,-1,1,1,-1,-1,1,1,0,1,-1,0,0,-1,0,1,1,0,-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
NkuLKJJE_KxcxKs8Kj8thQ,89146,80,55,173,B,95.0,87.72727273,4.0,36,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,0,0,0,0,-1,0,1,2,1,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EkOqxlglUpw9YUdnTbbJKg,89103,58,72,121,B,95.0,85.0,3.0,31,-1,-1,0,1,-1,-1,-1,0,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,1,-1,1,0,-1,1,1,2,0,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bPcqucuuClxYrIM8xWoArg,89135,21,26,35,A,95.0,95.0,4.0,461,-1,-1,2,1,-1,-1,3,1,-1,1,1,-1,1,0,-1,-1,1,-1,0,1,2,-1,0,1,1,1,-1,1,0,-1,0,1,2,1,1,1,0,1,1,0,-1,1,2,-1,-1,0,-1,-1,-1,-1
_OTl6V2oUfMMmoDWD2nXVg,89128,9,0,7,A,95.0,95.0,4.0,84,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,0,2,0,-1,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
_axD8DiO1to9Am8xJjtKHw,89103,32,84,63,A,95.0,94.0,3.5,70,-1,-1,0,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
jkhEPQovg6JKPzUr43MC_g,89130,43,117,90,A,95.0,93.46153846,3.0,16,-1,-1,2,0,-1,-1,1,1,-1,1,1,-1,1,0,-1,-1,0,-1,0,1,-1,-1,1,1,0,1,-1,0,0,-1,0,1,2,0,-1,1,1,1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
eqRYda9F_4ziinRW-N6ixw,89117,74,36,174,A,95.0,90.26315789,2.5,48,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,3,-1,-1,0,-1,0,-1,0,0,-1,0,0,1,0,0,1,-1,-1,0,0,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
RhV7sraRUB3km-gF-tmDow,89117,74,36,174,A,95.0,90.26315789,3.0,61,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,4,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,-1,0,0,0,-1,4,-1,-1,-1,-1,-1,-1,0
D74O-i-iEWo-e5BpwFMcUA,89117,74,36,174,A,95.0,90.26315789,3.0,74,-1,-1,0,1,-1,-1,-1,1,-1,1,0,-1,1,-1,-1,-1,0,-1,-1,1,5,-1,-1,0,-1,1,-1,0,0,-1,0,1,1,0,0,1,-1,-1,0,0,-1,-1,5,-1,-1,-1,1,1,-1,0
gqcJHVFCPeBRGnDf8bFzMw,89117,25,84,51,A,95.0,94.0,3.5,204,-1,-1,2,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,3,-1,-1,1,-1,1,-1,0,0,-1,0,1,2,1,1,1,-1,-1,1,1,0,-1,3,-1,1,-1,-1,1,-1,1
j5nPiTwWEFr-VsePew7Sjg,89102,261,0,579,B,95.0,84.70588235,4.0,1410,-1,-1,2,1,0,1,-1,1,-1,1,1,-1,0,-1,0,-1,0,-1,-1,1,2,-1,-1,0,-1,1,-1,0,0,1,0,1,2,1,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,-1,1,-1,-1
Wo_ZL7I3hS-eW6pJWg1V8A,89110,44,96,90,B,95.0,83.33333333,2.0,13,-1,-1,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,0,-1,1,-1,0,0,-1,0,1,1,0,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1Vn_lex3LGGwuTo-xeJnww,89147,21,8,40,A,95.0,94.16666667,4.0,128,-1,-1,2,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,0,-1,-1,-1,1,1,0,-1,1,-1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FCP5hYaTtn6dkpmZ_NTvEw,89106,44,45,134,B,95.0,89.44444444,3.5,209,-1,-1,1,1,0,1,-1,1,-1,1,1,-1,0,-1,0,-1,-1,-1,-1,1,2,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crGdKSRKi25R2vorZ7skzg,89101,56,3,152,A,95.0,90.33333333,4.5,3,-1,-1,-1,0,-1,-1,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
_WfdPyh065bo59USqPi9xQ,89121,28,30,56,A,95.0,94.0,4.0,13,-1,-1,2,0,-1,-1,2,1,-1,0,0,-1,1,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,1,-1,0,-1,-1,-1,1,1,0,-1,1,-1,-1,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1
